符合條件商品
資料日期：2022年  3月  4日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/04),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:45 符合檔數(9)
1	,1702.TW,南僑,44.8,-0.88,73,49.25,-4.64,6,投連賣
2	,2393.TW,億光,37.5,0.94,242,49.5,-17.16,6,投連賣
3	,3141.TW,晶宏,79.9,0.63,950,194,-57.23,6,投連賣
4	,3653.TW,健策,369.5,-0.81,1389,359.5,15.41,6,投連賣
5	,6274.TW,台燿,52.5,1.16,910,85,-33.8,6,投連賣
6	,6488.TW,環球晶,435.5,-2.57,2065,671,-33.88,6,投連賣
7	,6683.TW,雍智科技,189.5,0.26,103,245,-19.53,6,投連賣
8	,6706.TW,惠特,89.3,1.59,265,199.5,-51.38,6,投連賣
9	,3714.TW,富采,46.6,-0.96,1148,74.3,-34.98,5,投連賣
