符合條件商品
資料日期：2022年  6月 16日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/16),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:32 符合檔數(15)
1	,5439.TW,高技,46.85,0,102,46.55,9.8,20,投連賣
2	,8046.TW,南電,242,-0.41,10124,316,-20.68,18,投連賣
3	,2458.TW,義隆,86.1,-1.71,718,141,-30.99,17,投連賣
4	,2393.TW,億光,37.5,0.94,242,42.55,-3.62,13,投連賣
5	,3529.TW,力旺,1350,1.12,770,1270,7.6,8,投連賣
6	,1802.TW,台玻,21.2,0.24,12096,20.7,12.11,7,投連賣
7	,2610.TW,華航,19,-1.55,26392,24.5,-19.59,7,投連賣
8	,2637.TW,慧洋-KY,64.8,-3.28,13996,80,-19,7,投連賣
9	,3661.TW,世芯-KY,803,-1.35,2950,764,6.44,7,投連賣
10	,6187.TW,萬潤,65,0.93,810,87.6,-21.29,7,投連賣
11	,3037.TW,欣興,125,2.46,35224,165.5,-22.76,6,投連賣
12	,2603.TW,長榮,167.5,-2.33,36972,119.5,-27.39,5,投連賣
13	,3189.TW,景碩,107,0,9581,143,-22.84,5,投連賣
14	,3532.TW,台勝科,142,-2.07,1152,220,-34.5,5,投連賣
15	,4755.TW,三福化,119,0,366,178,-30.78,5,投連賣
