符合條件商品
資料日期：2022年  5月 20日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/20),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:38 符合檔數(9)
1	,5439.TW,高技,46.85,0,102,47.8,6.94,20,投連賣
2	,4536.TW,拓凱,189,-0.79,392,125,57.63,16,投連賣
3	,2002.TW,中鋼,30.7,0.16,37216,33.35,2.16,12,投連賣
4	,2606.TW,裕民,50.1,-3.47,10468,59,-8.94,9,投連賣
5	,2618.TW,長榮航,28.1,-2.09,27994,30.7,-6.68,8,投連賣
6	,2610.TW,華航,19,-1.55,26392,25.1,-21.52,7,投連賣
7	,2354.TW,鴻準,51.4,-1.15,1092,54.5,-2.15,6,投連賣
8	,2603.TW,長榮,167.5,-2.33,36972,135,-35.73,6,投連賣
9	,1476.TW,儒鴻,492.5,1.23,1098,465.5,8.99,5,投連賣
