符合條件商品
資料日期：2022年  7月 20日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/20),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:29 符合檔數(32)
1	,1477.TW,聚陽,238.5,0,510,143,66.78,16,投連賣
2	,2606.TW,裕民,50.1,-3.47,10468,41.45,20.87,16,投連賣
3	,3006.TW,晶豪科,66.2,0,3117,84,-21.19,16,投連賣
4	,6176.TW,瑞儀,106,0.47,1064,85.8,23.54,16,投連賣
5	,4938.TW,和碩,64.2,0.31,3317,59.4,8.08,15,投連賣
6	,2006.TW,東和鋼鐵,53.2,0.95,1881,49.4,7.69,14,投連賣
7	,1326.TW,台化,69.4,-0.72,1689,66.8,3.89,13,投連賣
8	,2404.TW,漢唐,182,-2.41,755,145,25.52,12,投連賣
9	,2809.TW,京城銀,33.9,-3.42,3989,32.85,3.2,12,投連賣
10	,6269.TW,台郡,99.2,-0.8,645,85.4,16.16,12,投連賣
11	,9904.TW,寶成,34.05,0.44,6898,27.7,22.92,12,投連賣
12	,1303.TW,南亞,70.3,-1.54,4616,63.3,11.06,11,投連賣
13	,2409.TW,友達,15.4,0.65,36394,14.9,-4.29,10,投連賣
14	,3592.TW,瑞鼎,307.5,0,497,281.5,9.24,8,投連賣
15	,3034.TW,聯詠,301.5,-0.17,3163,258,16.86,7,投連賣
16	,3645.TW,達邁,32.55,-1.21,101,39.9,-15.96,7,投連賣
17	,4919.TW,新唐,117,-2.09,4502,118,3.48,7,投連賣
18	,8016.TW,矽創,173.5,-0.29,574,155.5,11.58,7,投連賣
19	,1301.TW,台塑,86.8,-0.46,6046,87.8,-1.14,6,投連賣
20	,2640.TW,大車隊,86.4,1.17,61,80.2,12.66,6,投連賣
21	,4129.TW,聯合,50.6,2.64,2781,29.45,71.82,6,投連賣
22	,5309.TW,系統電,39.5,-1.86,1571,35.5,11.27,6,投連賣
23	,1605.TW,華新,46.75,-1.68,42087,33.5,39.55,5,投連賣
24	,2347.TW,聯強,61,-0.81,2957,53.5,14.02,5,投連賣
25	,2353.TW,宏碁,23.15,0.22,5082,22.05,4.99,5,投連賣
26	,2882.TW,國泰金,41.15,1.86,33982,44.9,-8.35,5,投連賣
27	,2883.TW,開發金,12.7,-0.78,8936,12.75,-0.39,5,投連賣
28	,2885.TW,元大金,21.8,-0.91,10786,19.25,16.64,5,投連賣
29	,3044.TW,健鼎,96,1.59,1391,98.1,-2.14,5,投連賣
30	,3596.TW,智易,98.3,-0.2,490,118.5,-17.05,5,投連賣
31	,4755.TW,三福化,119,0,366,141,-15.6,5,投連賣
32	,9914.TW,美利達,171,-2.29,298,227,-21.99,5,投連賣
