符合條件商品
資料日期：2022年  5月  6日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/06),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:39 符合檔數(11)
1	,1531.TW,高林股,13.95,-0.36,46,14.9,-1.83,19,投連賣
2	,1817.TW,凱撒衛,37.9,0.4,40,35,14.88,19,投連賣
3	,2236.TW,百達-KY,23.6,0.43,223,26.25,2.56,19,投連賣
4	,8433.TW,弘帆,62.4,0.32,14,42.8,52.64,19,投連賣
5	,5284.TW,jpp-KY,68.8,-2.41,2843,43.6,66.02,18,投連賣
6	,5439.TW,高技,46.85,0,102,48.95,4.41,18,投連賣
7	,5269.TW,祥碩,717,0.14,564,1360,-45.81,12,投連賣
8	,4536.TW,拓凱,189,-0.79,392,121.5,62.18,6,投連賣
9	,3406.TW,玉晶光,364,-0.68,820,364,2.01,5,投連賣
10	,5904.TW,寶雅,447.5,-0.33,243,312.5,49,5,投連賣
11	,6104.TW,創惟,88.8,0.23,2437,192,-53.75,5,投連賣
