符合條件商品
資料日期：2022年 11月 30日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/30),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:10 符合檔數(42)
1	,1402.TW,遠東新,31.55,-4.39,10632,32.5,-2.92,15,投連賣
2	,2890.TW,永豐金,16.7,-4.84,27291,18.2,-8.24,13,投連賣
3	,6472.TW,保瑞,406.5,-2.28,4588,449,-9.47,13,投連賣
4	,2474.TW,可成,169,-1.74,2651,183,-7.65,12,投連賣
5	,8928.TW,鉅明,39.05,-0.26,45,37.1,5.26,12,投連賣
6	,1605.TW,華新,46.75,-1.68,42087,46.7,0.11,11,投連賣
7	,1216.TW,統一,65.9,0,2803,66.1,-0.3,10,投連賣
8	,5483.TW,中美晶,143.5,-1.37,3418,159,-9.75,10,投連賣
9	,6533.TW,晶心科,494.5,-1.69,4905,529,-6.52,9,投連賣
10	,1795.TW,美時,232,0.22,11755,244,-4.92,8,投連賣
11	,2301.TW,光寶科,64,-0.47,4678,65.6,-2.44,8,投連賣
12	,2324.TW,仁寶,22.95,0.44,9576,21.65,6,8,投連賣
13	,2356.TW,英業達,26,0.19,6530,24.8,4.84,8,投連賣
14	,5876.TW,上海商銀,44.25,-0.45,2405,50.8,-12.89,8,投連賣
15	,1101.TW,台泥,34.05,-1.16,23484,33.9,0.44,7,投連賣
16	,2014.TW,中鴻,27.6,1.1,53751,23.8,15.97,7,投連賣
17	,2458.TW,義隆,86.1,-1.71,718,89.7,-4.01,7,投連賣
18	,2892.TW,第一金,26.3,-0.38,6392,26.2,0.38,7,投連賣
19	,3023.TW,信邦,275.5,-0.18,232,271,1.66,7,投連賣
20	,4945.TW,陞達科技,46.75,-2.6,16,48.3,-3.21,7,投連賣
21	,1102.TW,亞泥,41.55,0.24,6062,41.3,0.61,6,投連賣
22	,1304.TW,台聚,22.1,1.61,6105,22.4,-1.34,6,投連賣
23	,1717.TW,長興,31.5,-1.25,930,33.25,-5.26,6,投連賣
24	,2027.TW,大成鋼,43.15,-1.93,15303,40.25,7.2,6,投連賣
25	,2344.TW,華邦電,20.1,-0.99,9528,21.2,-5.19,6,投連賣
26	,2352.TW,佳世達,27.5,1.66,4573,28.1,-2.14,6,投連賣
27	,2449.TW,京元電子,36.4,-1.75,4505,35.55,2.39,6,投連賣
28	,2492.TW,華新科,78.7,-1.38,848,87.3,-9.85,6,投連賣
29	,2542.TW,興富發,40.35,-3.93,8630,44.8,-9.93,6,投連賣
30	,2912.TW,統一超,268,-1.47,996,272.5,-1.65,6,投連賣
31	,2915.TW,潤泰全,66.7,0.15,4192,66.3,0.6,6,投連賣
32	,3231.TW,緯創,29.9,-0.83,12268,27.65,8.14,6,投連賣
33	,3293.TW,鈊象,425.5,-0.23,3602,388.5,9.52,6,投連賣
34	,5220.TW,萬達光電,28.2,-0.88,20,28.85,-2.25,6,投連賣
35	,5904.TW,寶雅,447.5,-0.33,243,450,-0.56,6,投連賣
36	,6147.TW,頎邦,58.6,0.51,604,58.2,0.69,6,投連賣
37	,6176.TW,瑞儀,106,0.47,1064,105,0.95,6,投連賣
38	,6239.TW,力成,81.3,0.62,1926,83.6,-2.75,6,投連賣
39	,2317.TW,鴻海,101,0,15490,100.5,0.5,5,投連賣
40	,2330.TW,台積電,455,-2.78,26724,490,-6.61,5,投連賣
41	,2441.TW,超豐,48.2,-2.33,4006,49,-1.63,5,投連賣
42	,4958.TW,臻鼎-KY,108,-1.37,2633,119.5,-9.62,5,投連賣
