符合條件商品
資料日期：2022年  4月 11日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/11),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:42 符合檔數(12)
1	,3532.TW,台勝科,142,-2.07,1152,252.5,-42.94,13,投連賣
2	,2344.TW,華邦電,20.1,-0.99,9528,28.1,-25.69,12,投連賣
3	,4966.TW,譜瑞-KY,825,0.86,553,1535,-45.18,8,投連賣
4	,6104.TW,創惟,88.8,0.23,2437,246,-63.9,7,投連賣
5	,1565.TW,精華,244,0.21,46,278.5,-7.39,6,投連賣
6	,3006.TW,晶豪科,66.2,0,3117,135.5,-46.31,6,投連賣
7	,6679.TW,鈺太,229,0.44,465,363.5,-35.5,6,投連賣
8	,6763.TW,綠界科技,412,7.57,105,598,-26.31,6,投連賣
9	,2327.TW,國巨,460,-1.39,1468,398,-3.85,5,投連賣
10	,2376.TW,技嘉,106.5,1.43,5227,119.5,2.44,5,投連賣
11	,6457.TW,紘康,62.5,-1.26,183,126,-43.09,5,投連賣
12	,6788.TW,華景電,95.1,-0.21,282,120,-16.94,5,投連賣
