符合條件商品
資料日期：2022年  9月 30日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/30),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:19 符合檔數(12)
1	,2618.TW,長榮航,28.1,-2.09,27994,28.2,-0.35,6,投連賣
2	,3374.TW,精材,99.5,-1.49,1508,96,3.65,6,投連賣
3	,4739.TW,康普,94.9,-1.15,795,95.1,-0.21,6,投連賣
4	,6477.TW,安集,45.15,0.22,708,44,2.61,6,投連賣
5	,1565.TW,精華,244,0.21,46,226,7.96,5,投連賣
6	,2227.TW,裕日車,191,-2.05,32,190,0.53,5,投連賣
7	,3406.TW,玉晶光,364,-0.68,820,345.5,5.35,5,投連賣
8	,3567.TW,逸昌,24.95,0.4,68,25.95,-3.85,5,投連賣
9	,3596.TW,智易,98.3,-0.2,490,95.3,3.15,5,投連賣
10	,3707.TW,漢磊,86.9,0,3034,95,-8.53,5,投連賣
11	,5388.TW,中磊,77.4,-0.13,1579,78.8,-1.78,5,投連賣
12	,8341.TW,日友,162.5,-7.41,2828,151.5,7.26,5,投連賣
