符合條件商品
資料日期：2022年 11月 21日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/21),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:11 符合檔數(22)
1	,3036.TW,文曄,62.7,-0.95,1327,60.2,4.15,11,投連賣
2	,6669.TW,緯穎,819,-1.33,686,858,-4.55,9,投連賣
3	,1402.TW,遠東新,31.55,-4.39,10632,30.6,3.1,8,投連賣
4	,2059.TW,川湖,395,-0.63,106,402,-1.74,8,投連賣
5	,2317.TW,鴻海,101,0,15490,100,1,8,投連賣
6	,3665.TW,貿聯-KY,251,-2.33,1391,240.5,4.37,8,投連賣
7	,4536.TW,拓凱,189,-0.79,392,168,12.5,7,投連賣
8	,6414.TW,樺漢,198.5,-0.25,272,199.5,-0.5,7,投連賣
9	,2360.TW,致茂,179,0.56,783,188,-4.79,6,投連賣
10	,2890.TW,永豐金,16.7,-4.84,27291,16.85,-0.89,6,投連賣
11	,6472.TW,保瑞,406.5,-2.28,4588,428,-5.02,6,投連賣
12	,1476.TW,儒鴻,492.5,1.23,1098,435.5,13.09,5,投連賣
13	,1717.TW,長興,31.5,-1.25,930,31.9,-1.25,5,投連賣
14	,2344.TW,華邦電,20.1,-0.99,9528,21.45,-6.29,5,投連賣
15	,2474.TW,可成,169,-1.74,2651,182,-7.14,5,投連賣
16	,2492.TW,華新科,78.7,-1.38,848,85.2,-7.63,5,投連賣
17	,2542.TW,興富發,40.35,-3.93,8630,43.95,-8.19,5,投連賣
18	,2615.TW,萬海,86.2,-1.15,55180,69.5,24.03,5,投連賣
19	,3045.TW,台灣大,94.8,0,2514,91.9,3.16,5,投連賣
20	,3293.TW,鈊象,425.5,-0.23,3602,391,8.82,5,投連賣
21	,6239.TW,力成,81.3,0.62,1926,82.2,-1.09,5,投連賣
22	,8928.TW,鉅明,39.05,-0.26,45,36.75,6.26,5,投連賣
