符合條件商品
資料日期：2022年  1月  6日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/06),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:51 符合檔數(15)
1	,2105.TW,正新,33.75,-0.74,1203,35.65,-2.03,11,投連賣
2	,2303.TW,聯電,41.95,-2.1,34060,62.7,-28.75,11,投連賣
3	,3045.TW,台灣大,94.8,0,2514,99.2,-0.47,10,投連賣
4	,2912.TW,統一超,268,-1.47,996,274.5,0.82,9,投連賣
5	,3035.TW,智原,159,0.63,7973,211,-22.91,8,投連賣
6	,2313.TW,華通,45.95,-1.08,9582,43.1,10.67,7,投連賣
7	,3044.TW,健鼎,96,1.59,1391,122.5,-16.15,7,投連賣
8	,3702.TW,大聯大,47.8,-0.52,2583,52,-1.54,7,投連賣
9	,9917.TW,中保科,99.6,1.32,404,103.5,1.02,7,投連賣
10	,2481.TW,強茂,60.4,-0.33,2094,100.5,-36.55,6,投連賣
11	,5347.TW,世界,81.5,-1.69,3288,147,-40.93,6,投連賣
12	,6138.TW,茂達,117.5,-0.42,755,241,-47.79,6,投連賣
13	,6415.TW,矽力*-KY,445,1.37,2330,4430,-59.6,6,投連賣
14	,3532.TW,台勝科,142,-2.07,1152,274,-47.41,5,投連賣
15	,8016.TW,矽創,173.5,-0.29,574,307.5,-30.49,5,投連賣
