符合條件商品
資料日期：2022年  4月 15日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/15),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:42 符合檔數(21)
1	,2344.TW,華邦電,20.1,-0.99,9528,27,-22.66,16,投連賣
2	,4966.TW,譜瑞-KY,825,0.86,553,1390,-39.46,12,投連賣
3	,3006.TW,晶豪科,66.2,0,3117,132,-44.88,10,投連賣
4	,2376.TW,技嘉,106.5,1.43,5227,112.5,8.82,9,投連賣
5	,8299.TW,群聯,305,-0.81,792,418,-21.2,8,投連賣
6	,2303.TW,聯電,41.95,-2.1,34060,47.05,-5.07,7,投連賣
7	,2351.TW,順德,99.5,1.22,927,129,-20.86,7,投連賣
8	,6230.TW,尼得科超眾,118,-2.07,37,94.6,25.44,7,投連賣
9	,6415.TW,矽力*-KY,445,1.37,2330,2665,-33.21,7,投連賣
10	,3324.TW,雙鴻,151,-0.66,649,177.5,-11.79,6,投連賣
11	,3529.TW,力旺,1350,1.12,770,1380,-0.98,6,投連賣
12	,6196.TW,帆宣,117,-0.43,361,134.5,-9.24,6,投連賣
13	,1531.TW,高林股,13.95,-0.36,46,15.15,-3.46,5,投連賣
14	,1817.TW,凱撒衛,37.9,0.4,40,35.8,12.3,5,投連賣
15	,2233.TW,宇隆,99.5,0.3,88,108,-3.37,5,投連賣
16	,2236.TW,百達-KY,23.6,0.43,223,25.85,4.15,5,投連賣
17	,3526.TW,凡甲,117.5,-0.42,125,169,-25.09,5,投連賣
18	,6182.TW,合晶,41.8,-0.36,1757,58.4,-26.36,5,投連賣
19	,6411.TW,晶焱,85.7,-0.35,289,143.5,-36.2,5,投連賣
20	,6756.TW,威鋒電子,191,-2.05,282,325,-41.23,5,投連賣
21	,8433.TW,弘帆,62.4,0.32,14,44.85,45.66,5,投連賣
