符合條件商品
資料日期：2022年  5月  4日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/04),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:40 符合檔數(9)
1	,1531.TW,高林股,13.95,-0.36,46,14.7,-0.5,17,投連賣
2	,1817.TW,凱撒衛,37.9,0.4,40,35.15,14.4,17,投連賣
3	,2236.TW,百達-KY,23.6,0.43,223,26.2,2.79,17,投連賣
4	,8433.TW,弘帆,62.4,0.32,14,43,51.94,17,投連賣
5	,5284.TW,jpp-KY,68.8,-2.41,2843,43.7,65.66,16,投連賣
6	,5439.TW,高技,46.85,0,102,49,4.32,16,投連賣
7	,8255.TW,朋程,177,5.04,12777,164.5,10.76,13,投連賣
8	,5269.TW,祥碩,717,0.14,564,1420,-48.1,10,投連賣
9	,2455.TW,全新,67,0,1464,90.5,-22.15,5,投連賣
