符合條件商品
資料日期：2022年 12月  1日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/01),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:09 符合檔數(39)
1	,1402.TW,遠東新,31.55,-4.39,10632,32.65,-3.37,16,投連賣
2	,2890.TW,永豐金,16.7,-4.84,27291,17.95,-6.96,14,投連賣
3	,2474.TW,可成,169,-1.74,2651,177,-4.52,13,投連賣
4	,1605.TW,華新,46.75,-1.68,42087,46,1.63,12,投連賣
5	,1216.TW,統一,65.9,0,2803,65.9,0,11,投連賣
6	,6533.TW,晶心科,494.5,-1.69,4905,531,-6.87,10,投連賣
7	,2301.TW,光寶科,64,-0.47,4678,65.8,-2.74,9,投連賣
8	,2324.TW,仁寶,22.95,0.44,9576,21.55,6.5,9,投連賣
9	,2356.TW,英業達,26,0.19,6530,24.2,7.44,9,投連賣
10	,5876.TW,上海商銀,44.25,-0.45,2405,48.95,-9.6,9,投連賣
11	,1101.TW,台泥,34.05,-1.16,23484,34.05,0,8,投連賣
12	,2014.TW,中鴻,27.6,1.1,53751,23.95,15.24,8,投連賣
13	,2458.TW,義隆,86.1,-1.71,718,92.7,-7.12,8,投連賣
14	,2892.TW,第一金,26.3,-0.38,6392,26.2,0.38,8,投連賣
15	,3023.TW,信邦,275.5,-0.18,232,267,3.18,8,投連賣
16	,4945.TW,陞達科技,46.75,-2.6,16,49.9,-6.31,8,投連賣
17	,1102.TW,亞泥,41.55,0.24,6062,40.8,1.84,7,投連賣
18	,1304.TW,台聚,22.1,1.61,6105,22.25,-0.67,7,投連賣
19	,1717.TW,長興,31.5,-1.25,930,33.6,-6.25,7,投連賣
20	,2027.TW,大成鋼,43.15,-1.93,15303,40.5,6.54,7,投連賣
21	,2344.TW,華邦電,20.1,-0.99,9528,21.95,-8.43,7,投連賣
22	,2352.TW,佳世達,27.5,1.66,4573,28.45,-3.34,7,投連賣
23	,2449.TW,京元電子,36.4,-1.75,4505,36.2,0.55,7,投連賣
24	,2492.TW,華新科,78.7,-1.38,848,87.9,-10.47,7,投連賣
25	,2542.TW,興富發,40.35,-3.93,8630,44.8,-9.93,7,投連賣
26	,2915.TW,潤泰全,66.7,0.15,4192,66.3,0.6,7,投連賣
27	,3231.TW,緯創,29.9,-0.83,12268,27.5,8.73,7,投連賣
28	,3293.TW,鈊象,425.5,-0.23,3602,387.5,9.81,7,投連賣
29	,5220.TW,萬達光電,28.2,-0.88,20,28.95,-2.59,7,投連賣
30	,5904.TW,寶雅,447.5,-0.33,243,454.5,-1.54,7,投連賣
31	,6147.TW,頎邦,58.6,0.51,604,58.9,-0.51,7,投連賣
32	,6239.TW,力成,81.3,0.62,1926,85.2,-4.58,7,投連賣
33	,2317.TW,鴻海,101,0,15490,103,-1.94,6,投連賣
34	,2441.TW,超豐,48.2,-2.33,4006,50.2,-3.98,6,投連賣
35	,4958.TW,臻鼎-KY,108,-1.37,2633,121,-10.74,6,投連賣
36	,2884.TW,玉山金,24.1,-1.03,10272,24.6,-2.03,5,投連賣
37	,3034.TW,聯詠,301.5,-0.17,3163,297,1.52,5,投連賣
38	,6643.TW,M31,504,0,3247,500,0.8,5,投連賣
39	,8299.TW,群聯,305,-0.81,792,337,-6.48,5,投連賣
