符合條件商品
資料日期：2022年  7月  1日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/01),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:30 符合檔數(12)
1	,5230.TW,雷笛克光學,22.8,0,19,21.5,6.05,13,投連賣
2	,2002.TW,中鋼,30.7,0.16,37216,28.7,18.72,12,投連賣
3	,4919.TW,新唐,117,-2.09,4502,122.5,-0.32,11,投連賣
4	,2062.TW,橋椿,22.35,-0.22,124,22.55,1.41,9,投連賣
5	,3526.TW,凡甲,117.5,-0.42,125,133,-4.8,9,投連賣
6	,3675.TW,德微,168,2.75,1849,214,-19.65,7,投連賣
7	,1722.TW,台肥,53.1,-0.56,1033,62.3,-10.98,6,投連賣
8	,6488.TW,環球晶,435.5,-2.57,2065,436.5,1.64,6,投連賣
9	,6577.TW,勁豐,58.7,0,2,56.3,4.26,6,投連賣
10	,2603.TW,長榮,167.5,-2.33,36972,79.8,-9.31,5,投連賣
11	,2640.TW,大車隊,86.4,1.17,61,77.8,16.13,5,投連賣
12	,3044.TW,健鼎,96,1.59,1391,104.5,-1.7,5,投連賣
