符合條件商品
資料日期：2021年 11月 12日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/12),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 17:01 符合檔數(10)
1	,8081.TW,致新,141,-1.05,262,232,-33.09,13,投連賣
2	,2317.TW,鴻海,101,0,15490,109,-2.56,11,投連賣
3	,3264.TW,欣銓,49.85,-0.89,1243,57.2,-7.65,10,投連賣
4	,2360.TW,致茂,179,0.56,783,188.5,-0.74,9,投連賣
5	,3443.TW,創意,726,-0.55,5389,578,27.18,8,投連賣
6	,2308.TW,台達電,281,-1.92,5149,261,10.23,7,投連賣
7	,6706.TW,惠特,89.3,1.59,265,206.5,-53.03,7,投連賣
8	,2049.TW,上銀,180,-0.83,411,283.5,-35.24,5,投連賣
9	,2233.TW,宇隆,99.5,0.3,88,96.3,8.36,5,投連賣
10	,6732.TW,昇佳電子,220,-1.57,74,529,-55.1,5,投連賣
