符合條件商品
資料日期：2022年 11月 10日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/10),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:12 符合檔數(13)
1	,3131.TW,弘塑,225,-0.88,34,199.5,12.78,16,投連賣
2	,9802.TW,鈺齊-KY,162,0.31,3063,136,19.12,8,投連賣
3	,1736.TW,喬山,73.9,-1.99,1386,64.3,14.93,7,投連賣
4	,2231.TW,為升,142,-2.07,335,133,6.77,7,投連賣
5	,1319.TW,東陽,41.05,0.37,2564,42.65,-3.75,6,投連賣
6	,3708.TW,上緯投控,94.6,-1.77,1112,90.6,4.42,6,投連賣
7	,1519.TW,華城,48.9,2.09,3632,37.75,29.54,5,投連賣
8	,2308.TW,台達電,281,-1.92,5149,271,3.69,5,投連賣
9	,2458.TW,義隆,86.1,-1.71,718,86.4,-0.35,5,投連賣
10	,3533.TW,嘉澤,829,0.36,375,799,3.75,5,投連賣
11	,4572.TW,駐龍,122.5,3.81,1037,110,11.36,5,投連賣
12	,8464.TW,億豐,278.5,-1.42,255,241.5,15.32,5,投連賣
13	,8916.TW,光隆,52.9,-0.94,490,57.2,-7.52,5,投連賣
