符合條件商品
資料日期：2022年  7月 14日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/14),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:29 符合檔數(22)
1	,3035.TW,智原,159,0.63,7973,150,6,13,投連賣
2	,3707.TW,漢磊,86.9,0,3034,88,-0.86,13,投連賣
3	,1477.TW,聚陽,238.5,0,510,138,72.83,12,投連賣
4	,2606.TW,裕民,50.1,-3.47,10468,39.8,25.88,12,投連賣
5	,3006.TW,晶豪科,66.2,0,3117,80.2,-17.46,12,投連賣
6	,6176.TW,瑞儀,106,0.47,1064,83.4,27.1,12,投連賣
7	,4938.TW,和碩,64.2,0.31,3317,59.2,8.45,11,投連賣
8	,2006.TW,東和鋼鐵,53.2,0.95,1881,49.85,6.72,10,投連賣
9	,6683.TW,雍智科技,189.5,0.26,103,171,15.29,10,投連賣
10	,1326.TW,台化,69.4,-0.72,1689,66.1,4.99,9,投連賣
11	,3131.TW,弘塑,225,-0.88,34,220,9.92,9,投連賣
12	,6698.TW,旭暉應材,28.85,0.87,8,29.75,-3.03,9,投連賣
13	,2383.TW,台光電,176.5,-0.84,2034,157,19.32,8,投連賣
14	,2404.TW,漢唐,182,-2.41,755,139.5,30.47,8,投連賣
15	,2809.TW,京城銀,33.9,-3.42,3989,33,2.73,8,投連賣
16	,6269.TW,台郡,99.2,-0.8,645,81.4,21.87,8,投連賣
17	,9904.TW,寶成,34.05,0.44,6898,27.55,23.59,8,投連賣
18	,1303.TW,南亞,70.3,-1.54,4616,62.7,12.12,7,投連賣
19	,2409.TW,友達,15.4,0.65,36394,14.6,-2.35,6,投連賣
20	,3661.TW,世芯-KY,803,-1.35,2950,585,39,5,投連賣
21	,4958.TW,臻鼎-KY,108,-1.37,2633,96.3,12.15,5,投連賣
22	,8341.TW,日友,162.5,-7.41,2828,185,-12.16,5,投連賣
