符合條件商品
資料日期：2022年 11月  8日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/08),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:14 符合檔數(10)
1	,3131.TW,弘塑,225,-0.88,34,192,17.19,14,投連賣
2	,3346.TW,麗清,38,1.88,1028,30.95,22.78,10,投連賣
3	,2317.TW,鴻海,101,0,15490,100,1,6,投連賣
4	,2385.TW,群光,87.2,0.11,1118,80.5,8.32,6,投連賣
5	,9802.TW,鈺齊-KY,162,0.31,3063,138.5,16.97,6,投連賣
6	,1736.TW,喬山,73.9,-1.99,1386,65.6,12.65,5,投連賣
7	,2231.TW,為升,142,-2.07,335,143.5,-1.05,5,投連賣
8	,2912.TW,統一超,268,-1.47,996,262.5,2.1,5,投連賣
9	,5904.TW,寶雅,447.5,-0.33,243,466.5,-4.07,5,投連賣
10	,6285.TW,啟碁,80.8,-2.3,4232,82.8,-2.42,5,投連賣
