符合條件商品
資料日期：2022年  8月 29日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/29),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:24 符合檔數(12)
1	,3596.TW,智易,98.3,-0.2,490,110.5,-11.04,14,投連賣
2	,3567.TW,逸昌,24.95,0.4,68,28.6,-12.76,8,投連賣
3	,1795.TW,美時,232,0.22,11755,169.5,36.87,7,投連賣
4	,2317.TW,鴻海,101,0,15490,108,-6.48,7,投連賣
5	,3037.TW,欣興,125,2.46,35224,151.5,-17.49,6,投連賣
6	,4162.TW,智擎,118.5,-2.07,10092,125.5,-5.58,6,投連賣
7	,2233.TW,宇隆,99.5,0.3,88,110.5,-9.95,5,投連賣
8	,2732.TW,六角,126,0.8,213,102,25.99,5,投連賣
9	,4958.TW,臻鼎-KY,108,-1.37,2633,111,-2.7,5,投連賣
10	,5220.TW,萬達光電,28.2,-0.88,20,30.4,-7.24,5,投連賣
11	,6472.TW,保瑞,406.5,-2.28,4588,346.5,29.1,5,投連賣
12	,6679.TW,鈺太,229,0.44,465,231,-0.87,5,投連賣
