符合條件商品
資料日期：2021年 11月 23日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/23),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:58 符合檔數(24)
1	,2317.TW,鴻海,101,0,15490,106,0.2,18,投連賣
2	,3264.TW,欣銓,49.85,-0.89,1243,56,-5.68,17,投連賣
3	,2360.TW,致茂,179,0.56,783,184,1.69,16,投連賣
4	,2308.TW,台達電,281,-1.92,5149,255,12.82,14,投連賣
5	,3218.TW,大學光,290,0.17,438,278,11.62,9,投連賣
6	,5871.TW,中租-KY,216.5,0.46,2711,246,-5.05,8,投連賣
7	,2002.TW,中鋼,30.7,0.16,37216,33.1,2.95,7,投連賣
8	,3037.TW,欣興,125,2.46,35224,197,-35.11,7,投連賣
9	,3189.TW,景碩,107,0,9581,232,-52.44,7,投連賣
10	,3661.TW,世芯-KY,803,-1.35,2950,1115,-27.07,7,投連賣
11	,3035.TW,智原,159,0.63,7973,184.5,-11.83,6,投連賣
12	,2227.TW,裕日車,191,-2.05,32,250.5,-20.37,5,投連賣
13	,2330.TW,台積電,455,-2.78,26724,612,-23.66,5,投連賣
14	,2345.TW,智邦,237.5,-6.5,4085,295,-17.54,5,投連賣
15	,2357.TW,華碩,271,-1.63,1392,352.5,-11.46,5,投連賣
16	,2436.TW,偉詮電,42,0.84,593,98.9,-55.15,5,投連賣
17	,3231.TW,緯創,29.9,-0.83,12268,29.1,12.15,5,投連賣
18	,3707.TW,漢磊,86.9,0,3034,147,-40.65,5,投連賣
19	,3711.TW,日月光投控,93.8,-3.6,11870,105,-3.23,5,投連賣
20	,4958.TW,臻鼎-KY,108,-1.37,2633,101.5,11.42,5,投連賣
21	,6505.TW,台塑化,80.1,-1.11,1418,96,-13.07,5,投連賣
22	,8938.TW,明安,94.7,-0.53,233,76.3,33.21,5,投連賣
23	,9914.TW,美利達,171,-2.29,298,303.5,-41.65,5,投連賣
24	,9938.TW,百和,59,4.8,4688,81.4,-22.97,5,投連賣
