符合條件商品
資料日期：2022年  6月  7日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/07),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:36 符合檔數(33)
1	,5439.TW,高技,46.85,0,102,49.05,4.2,20,投連賣
2	,2912.TW,統一超,268,-1.47,996,266.5,3.85,14,投連賣
3	,8046.TW,南電,242,-0.41,10124,367.5,-31.79,11,投連賣
4	,1102.TW,亞泥,41.55,0.24,6062,44.2,1.79,10,投連賣
5	,1216.TW,統一,65.9,0,2803,64.8,5.86,10,投連賣
6	,2408.TW,南亞科,51.4,-0.58,5241,65.8,-16.46,10,投連賣
7	,2458.TW,義隆,86.1,-1.71,718,147,-33.81,10,投連賣
8	,2834.TW,臺企銀,12.9,-0.39,8238,12.1,11.5,10,投連賣
9	,2883.TW,開發金,12.7,-0.78,8936,15.9,-14.07,10,投連賣
10	,2890.TW,永豐金,16.7,-4.84,27291,17.55,0.66,10,投連賣
11	,2892.TW,第一金,26.3,-0.38,6392,26.45,5.33,10,投連賣
12	,5230.TW,雷笛克光學,22.8,0,19,24.4,-3.35,10,投連賣
13	,9904.TW,寶成,34.05,0.44,6898,31.45,14.22,10,投連賣
14	,3035.TW,智原,159,0.63,7973,228.5,-28.81,9,投連賣
15	,3037.TW,欣興,125,2.46,35224,200,-36.08,9,投連賣
16	,1326.TW,台化,69.4,-0.72,1689,81.5,-9.52,8,投連賣
17	,2207.TW,和泰車,592,-0.67,113,604,1.29,8,投連賣
18	,2344.TW,華邦電,20.1,-0.99,9528,29,-28.01,8,投連賣
19	,2887.TW,台新金,15.2,0,6593,17.7,-6.63,8,投連賣
20	,5880.TW,合庫金,25.95,-0.76,4866,27.3,1.49,8,投連賣
21	,6147.TW,頎邦,58.6,0.51,604,70.1,-7.1,8,投連賣
22	,9958.TW,世紀鋼,88.9,-1.22,9352,114,-19.02,8,投連賣
23	,1308.TW,亞聚,28.2,-0.88,1358,29.45,6.78,7,投連賣
24	,3443.TW,創意,726,-0.55,5389,560,29.64,7,投連賣
25	,2393.TW,億光,37.5,0.94,242,44.95,-8.78,6,投連賣
26	,2606.TW,裕民,50.1,-3.47,10468,57.8,-7.05,6,投連賣
27	,2633.TW,台灣高鐵,28.75,-0.52,2418,27.9,5.89,6,投連賣
28	,9939.TW,宏全,86.9,2.12,1021,75.2,22.71,6,投連賣
29	,1722.TW,台肥,53.1,-0.56,1033,68.1,-18.57,5,投連賣
30	,2014.TW,中鴻,27.6,1.1,53751,33.3,-8.15,5,投連賣
31	,3526.TW,凡甲,117.5,-0.42,125,169.5,-25.31,5,投連賣
32	,5284.TW,jpp-KY,68.8,-2.41,2843,43.6,66.02,5,投連賣
33	,6285.TW,啟碁,80.8,-2.3,4232,64.6,29.11,5,投連賣
