符合條件商品
資料日期：2022年  8月  4日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/04),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:27 符合檔數(9)
1	,6187.TW,萬潤,65,0.93,810,71.1,-8.58,12,投連賣
2	,6121.TW,新普,288.5,-0.35,276,256,18.01,9,投連賣
3	,2455.TW,全新,67,0,1464,66.2,1.21,8,投連賣
4	,6143.TW,振曜,66.9,0.45,825,47.5,47.81,8,投連賣
5	,6146.TW,耕興,231,2.21,247,208,11.06,8,投連賣
6	,5439.TW,高技,46.85,0,102,39.7,18.01,7,投連賣
7	,3037.TW,欣興,125,2.46,35224,146,-14.38,6,投連賣
8	,3189.TW,景碩,107,0,9581,121,-11.57,6,投連賣
9	,9802.TW,鈺齊-KY,162,0.31,3063,155.5,5.72,5,投連賣
