符合條件商品
資料日期：2022年 11月 15日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/15),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:11 符合檔數(22)
1	,2231.TW,為升,142,-2.07,335,136,4.41,10,投連賣
2	,3708.TW,上緯投控,94.6,-1.77,1112,93.2,1.5,9,投連賣
3	,3533.TW,嘉澤,829,0.36,375,780,6.28,8,投連賣
4	,1102.TW,亞泥,41.55,0.24,6062,40.75,1.96,7,投連賣
5	,2002.TW,中鋼,30.7,0.16,37216,29.1,5.5,7,投連賣
6	,2732.TW,六角,126,0.8,213,116.5,8.15,7,投連賣
7	,3036.TW,文曄,62.7,-0.95,1327,60.6,3.47,7,投連賣
8	,3289.TW,宜特,77.8,1.7,3592,78.7,-1.14,7,投連賣
9	,5522.TW,遠雄,58.5,0.34,1205,52.6,11.22,7,投連賣
10	,6176.TW,瑞儀,106,0.47,1064,103.5,2.42,7,投連賣
11	,2392.TW,正崴,36.85,-0.94,578,35.85,2.79,6,投連賣
12	,3546.TW,宇峻,76.1,0.66,226,70.4,8.1,6,投連賣
13	,5425.TW,台半,75.3,0,4216,77,-2.21,6,投連賣
14	,9939.TW,宏全,86.9,2.12,1021,80.9,7.42,6,投連賣
15	,1536.TW,和大,70.4,-0.56,752,72.1,-2.36,5,投連賣
16	,2313.TW,華通,45.95,-1.08,9582,48,-4.27,5,投連賣
17	,2345.TW,智邦,237.5,-6.5,4085,256.5,-7.41,5,投連賣
18	,6245.TW,立端,91.8,-7.09,8513,71,29.3,5,投連賣
19	,6279.TW,胡連,149.5,-1.64,1303,143,4.55,5,投連賣
20	,6443.TW,元晶,34.1,1.19,7879,33.45,1.94,5,投連賣
21	,6669.TW,緯穎,819,-1.33,686,841,-2.62,5,投連賣
22	,8341.TW,日友,162.5,-7.41,2828,139,16.91,5,投連賣
