符合條件商品
資料日期：2022年  1月 14日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/14),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:50 符合檔數(25)
1	,2303.TW,聯電,41.95,-2.1,34060,62.7,-28.75,17,投連賣
2	,2912.TW,統一超,268,-1.47,996,269,2.88,15,投連賣
3	,2481.TW,強茂,60.4,-0.33,2094,89.3,-28.6,12,投連賣
4	,3707.TW,漢磊,86.9,0,3034,115.5,-24.46,9,投連賣
5	,6781.TW,AES-KY,680,1.34,965,1615,-57.28,9,投連賣
6	,8924.TW,大田,120.5,0.42,199,136.5,-1.99,9,投連賣
7	,2809.TW,京城銀,33.9,-3.42,3989,41.45,-13.48,8,投連賣
8	,3105.TW,穩懋,138,0.36,2757,331,-56.13,8,投連賣
9	,4961.TW,天鈺,117,0.86,1402,224.5,-40.08,8,投連賣
10	,6005.TW,群益證,11.1,0,1344,17.1,-25.35,8,投連賣
11	,2889.TW,國票金,11.35,0,2314,16.3,-23.72,6,投連賣
12	,3529.TW,力旺,1350,1.12,770,1810,-24.5,6,投連賣
13	,1504.TW,東元,27.25,-0.37,1749,30.85,-7.47,5,投連賣
14	,1558.TW,伸興,120,0,27,144.5,-11.54,5,投連賣
15	,1904.TW,正隆,27.15,-1.09,381,35.4,-18.1,5,投連賣
16	,2207.TW,和泰車,592,-0.67,113,622,-1.64,5,投連賣
17	,2352.TW,佳世達,27.5,1.66,4573,30.5,-1.82,5,投連賣
18	,2603.TW,長榮,167.5,-2.33,36972,132,-34.26,5,投連賣
19	,2609.TW,陽明,67.3,-1.03,57425,107.5,-21.41,5,投連賣
20	,2820.TW,華票,14.55,0,290,17.8,-13.6,5,投連賣
21	,2838.TW,聯邦銀,16.1,-0.92,465,14.8,19.52,5,投連賣
22	,2855.TW,統一證,15.85,0,341,23.2,-23.39,5,投連賣
23	,3141.TW,晶宏,79.9,0.63,950,202,-58.92,5,投連賣
24	,6457.TW,紘康,62.5,-1.26,183,162,-55.74,5,投連賣
25	,8112.TW,至上,36.05,0.7,471,49.35,-18.53,5,投連賣
