符合條件商品
資料日期：2022年 12月  6日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/06),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:09 符合檔數(14)
1	,2890.TW,永豐金,16.7,-4.84,27291,17.85,-6.44,17,投連賣
2	,2474.TW,可成,169,-1.74,2651,175,-3.43,16,投連賣
3	,5876.TW,上海商銀,44.25,-0.45,2405,46.8,-5.45,12,投連賣
4	,1101.TW,台泥,34.05,-1.16,23484,33.3,2.25,11,投連賣
5	,2892.TW,第一金,26.3,-0.38,6392,25.9,1.54,11,投連賣
6	,1717.TW,長興,31.5,-1.25,930,31.4,0.32,10,投連賣
7	,5904.TW,寶雅,447.5,-0.33,243,454.5,-1.54,10,投連賣
8	,2317.TW,鴻海,101,0,15490,103,-1.94,9,投連賣
9	,6643.TW,M31,504,0,3247,526,-4.18,8,投連賣
10	,8299.TW,群聯,305,-0.81,792,307,2.66,8,投連賣
11	,3533.TW,嘉澤,829,0.36,375,870,-4.71,7,投連賣
12	,2615.TW,萬海,86.2,-1.15,55180,70.6,22.1,5,投連賣
13	,3217.TW,優群,80.7,0.37,119,83.1,-2.89,5,投連賣
14	,5340.TW,建榮,25.25,-0.79,22,25,1,5,投連賣
