符合條件商品
資料日期：2022年 10月 31日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/31),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:15 符合檔數(10)
1	,6515.TW,穎崴,404,-1.46,559,307.5,31.38,15,投連賣
2	,3406.TW,玉晶光,364,-0.68,820,300.5,21.13,14,投連賣
3	,5439.TW,高技,46.85,0,102,39.85,17.57,13,投連賣
4	,6491.TW,晶碩,404.5,-1.94,432,282.5,43.19,11,投連賣
5	,3567.TW,逸昌,24.95,0.4,68,23.45,6.4,10,投連賣
6	,1513.TW,中興電,66,0.15,12515,49.4,33.6,9,投連賣
7	,3131.TW,弘塑,225,-0.88,34,181.5,23.97,8,投連賣
8	,3596.TW,智易,98.3,-0.2,490,90.2,8.98,7,投連賣
9	,8150.TW,南茂,32.9,1.23,1428,31.75,3.62,6,投連賣
10	,3665.TW,貿聯-KY,251,-2.33,1391,246.5,1.83,5,投連賣
