符合條件商品
資料日期：2021年 12月 24日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/24),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:53 符合檔數(32)
1	,1434.TW,福懋,26.3,-0.19,479,29.4,-7.03,17,投連賣
2	,2915.TW,潤泰全,66.7,0.15,4192,96.3,-24.91,17,投連賣
3	,3702.TW,大聯大,47.8,-0.52,2583,51.2,-0.02,17,投連賣
4	,1702.TW,南僑,44.8,-0.88,73,49.3,-4.74,16,投連賣
5	,3653.TW,健策,369.5,-0.81,1389,402.5,3.09,13,投連賣
6	,2345.TW,智邦,237.5,-6.5,4085,259,-6.07,8,投連賣
7	,2360.TW,致茂,179,0.56,783,205,-8.72,8,投連賣
8	,2383.TW,台光電,176.5,-0.84,2034,276.5,-32.25,8,投連賣
9	,5904.TW,寶雅,447.5,-0.33,243,430.5,8.16,8,投連賣
10	,2317.TW,鴻海,101,0,15490,104,2.12,7,投連賣
11	,2352.TW,佳世達,27.5,1.66,4573,30.05,-0.33,7,投連賣
12	,2377.TW,微星,119.5,1.7,2513,160.5,-18.86,7,投連賣
13	,2379.TW,瑞昱,289,-0.52,1352,564,-44.21,7,投連賣
14	,2404.TW,漢唐,182,-2.41,755,178,10.83,7,投連賣
15	,2441.TW,超豐,48.2,-2.33,4006,77.1,-32.3,7,投連賣
16	,2492.TW,華新科,78.7,-1.38,848,166,-50.2,7,投連賣
17	,5871.TW,中租-KY,216.5,0.46,2711,255,-8.41,7,投連賣
18	,6121.TW,新普,288.5,-0.35,276,326,3.05,7,投連賣
19	,2356.TW,英業達,26,0.19,6530,25,10.45,6,投連賣
20	,2409.TW,友達,15.4,0.65,36394,22.45,-31.95,6,投連賣
21	,2449.TW,京元電子,36.4,-1.75,4505,43.8,-10.26,6,投連賣
22	,2454.TW,聯發科,660,-0.15,2431,1120,-35.21,6,投連賣
23	,2603.TW,長榮,167.5,-2.33,36972,139,-37.58,6,投連賣
24	,3044.TW,健鼎,96,1.59,1391,123,-16.49,6,投連賣
25	,3231.TW,緯創,29.9,-0.83,12268,29.1,12.15,6,投連賣
26	,3707.TW,漢磊,86.9,0,3034,136,-35.85,6,投連賣
27	,4958.TW,臻鼎-KY,108,-1.37,2633,101,11.98,6,投連賣
28	,6411.TW,晶焱,85.7,-0.35,289,239,-61.69,6,投連賣
29	,2337.TW,旺宏,35,0.57,15889,41.25,-9.61,5,投連賣
30	,2354.TW,鴻準,51.4,-1.15,1092,64.6,-17.44,5,投連賣
31	,2387.TW,精元,39.25,-1.75,500,44.45,-4.76,5,投連賣
32	,3264.TW,欣銓,49.85,-0.89,1243,55.3,-4.48,5,投連賣
