符合條件商品
資料日期：2021年 11月 17日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/17),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:59 符合檔數(16)
1	,2317.TW,鴻海,101,0,15490,107,-0.74,14,投連賣
2	,3264.TW,欣銓,49.85,-0.89,1243,57.7,-8.45,13,投連賣
3	,2360.TW,致茂,179,0.56,783,189.5,-1.26,12,投連賣
4	,3443.TW,創意,726,-0.55,5389,604,21.7,11,投連賣
5	,2308.TW,台達電,281,-1.92,5149,261.5,10.02,10,投連賣
6	,6732.TW,昇佳電子,220,-1.57,74,542,-56.18,8,投連賣
7	,3017.TW,奇鋐,111,-1.77,2015,82.5,39.68,7,投連賣
8	,6491.TW,晶碩,404.5,-1.94,432,471,-12.35,7,投連賣
9	,1722.TW,台肥,53.1,-0.56,1033,67.8,-18.21,5,投連賣
10	,1785.TW,光洋科,32.45,-1.52,600,56.2,-39.96,5,投連賣
11	,2303.TW,聯電,41.95,-2.1,34060,63.6,-29.77,5,投連賣
12	,2492.TW,華新科,78.7,-1.38,848,171,-51.66,5,投連賣
13	,3218.TW,大學光,290,0.17,438,288,7.74,5,投連賣
14	,3675.TW,德微,168,2.75,1849,247,-30.39,5,投連賣
15	,8436.TW,大江,174.5,-3.32,9916,199.5,-6.96,5,投連賣
16	,8454.TW,富邦媒,626,0,570,1750,-56.33,5,投連賣
