符合條件商品
資料日期：2022年  7月 18日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/18),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:29 符合檔數(24)
1	,1477.TW,聚陽,238.5,0,510,140.5,69.75,14,投連賣
2	,2606.TW,裕民,50.1,-3.47,10468,40.15,24.78,14,投連賣
3	,3006.TW,晶豪科,66.2,0,3117,82.6,-19.85,14,投連賣
4	,6176.TW,瑞儀,106,0.47,1064,84.8,25,14,投連賣
5	,4938.TW,和碩,64.2,0.31,3317,58.7,9.37,13,投連賣
6	,2006.TW,東和鋼鐵,53.2,0.95,1881,48.9,8.79,12,投連賣
7	,1326.TW,台化,69.4,-0.72,1689,65.8,5.47,11,投連賣
8	,3131.TW,弘塑,225,-0.88,34,230,5.14,11,投連賣
9	,6698.TW,旭暉應材,28.85,0.87,8,29.9,-3.51,11,投連賣
10	,2404.TW,漢唐,182,-2.41,755,143,27.27,10,投連賣
11	,2809.TW,京城銀,33.9,-3.42,3989,32.8,3.35,10,投連賣
12	,6269.TW,台郡,99.2,-0.8,645,82.9,19.66,10,投連賣
13	,9904.TW,寶成,34.05,0.44,6898,27.55,23.59,10,投連賣
14	,1303.TW,南亞,70.3,-1.54,4616,62.9,11.76,9,投連賣
15	,2409.TW,友達,15.4,0.65,36394,14.65,-2.65,8,投連賣
16	,8341.TW,日友,162.5,-7.41,2828,182.5,-10.96,7,投連賣
17	,3592.TW,瑞鼎,307.5,0,497,278,10.61,6,投連賣
18	,6205.TW,詮欣,70.9,-0.7,430,64.5,9.92,6,投連賣
19	,1904.TW,正隆,27.15,-1.09,381,25.8,5.23,5,投連賣
20	,3034.TW,聯詠,301.5,-0.17,3163,249,21.08,5,投連賣
21	,3645.TW,達邁,32.55,-1.21,101,39.55,-15.21,5,投連賣
22	,4919.TW,新唐,117,-2.09,4502,117,4.37,5,投連賣
23	,6488.TW,環球晶,435.5,-2.57,2065,436.5,-0.23,5,投連賣
24	,8016.TW,矽創,173.5,-0.29,574,148,17.23,5,投連賣
