符合條件商品
資料日期：2022年  3月 31日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/31),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:43 符合檔數(9)
1	,3532.TW,台勝科,142,-2.07,1152,289.5,-50.23,8,投連賣
2	,2344.TW,華邦電,20.1,-0.99,9528,31.2,-33.09,7,投連賣
3	,2383.TW,台光電,176.5,-0.84,2034,258,-27.39,7,投連賣
4	,4105.TW,東洋,82.8,0.24,1226,69,25.19,6,投連賣
5	,4935.TW,茂林-KY,56.3,-1.05,64,67.5,-9.05,6,投連賣
6	,5284.TW,jpp-KY,68.8,-2.41,2843,44.15,63.97,6,投連賣
7	,6182.TW,合晶,41.8,-0.36,1757,68.9,-37.58,6,投連賣
8	,2606.TW,裕民,50.1,-3.47,10468,59.1,-9.09,5,投連賣
9	,6414.TW,樺漢,198.5,-0.25,272,202,1.52,5,投連賣
