符合條件商品
資料日期：2022年 12月  9日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/09),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:08 符合檔數(12)
1	,5340.TW,建榮,25.25,-0.79,22,24.9,1.41,8,投連賣
2	,4551.TW,智伸科,146,-0.68,691,153.5,-4.89,7,投連賣
3	,2308.TW,台達電,281,-1.92,5149,294.5,-4.58,6,投連賣
4	,2345.TW,智邦,237.5,-6.5,4085,250.5,-5.19,6,投連賣
5	,2377.TW,微星,119.5,1.7,2513,119,0.42,6,投連賣
6	,3017.TW,奇鋐,111,-1.77,2015,115.5,-3.9,6,投連賣
7	,3443.TW,創意,726,-0.55,5389,794,-8.56,6,投連賣
8	,5483.TW,中美晶,143.5,-1.37,3418,154.5,-7.12,6,投連賣
9	,6472.TW,保瑞,406.5,-2.28,4588,394.5,3.04,6,投連賣
10	,6569.TW,醫揚,100,-0.99,20,98.9,1.11,6,投連賣
11	,8928.TW,鉅明,39.05,-0.26,45,40.55,-3.7,6,投連賣
12	,6669.TW,緯穎,819,-1.33,686,906,-9.6,5,投連賣
