符合條件商品
資料日期：2022年  9月 27日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/27),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:20 符合檔數(9)
1	,3189.TW,景碩,107,0,9581,96.7,10.65,20,投連賣
2	,6491.TW,晶碩,404.5,-1.94,432,351.5,15.08,11,投連賣
3	,8046.TW,南電,242,-0.41,10124,200,21,11,投連賣
4	,3035.TW,智原,159,0.63,7973,134.5,18.22,10,投連賣
5	,6781.TW,AES-KY,680,1.34,965,669,1.64,7,投連賣
6	,6271.TW,同欣電,201,-4.29,2372,167,8.88,6,投連賣
7	,6415.TW,矽力*-KY,445,1.37,2330,430,3.49,5,投連賣
8	,6488.TW,環球晶,435.5,-2.57,2065,378,15.21,5,投連賣
9	,9914.TW,美利達,171,-2.29,298,184.5,-7.32,5,投連賣
