符合條件商品
資料日期：2022年  5月 17日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/17),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:39 符合檔數(11)
1	,5439.TW,高技,46.85,0,102,47.4,7.83,20,投連賣
2	,4536.TW,拓凱,189,-0.79,392,122,61.51,13,投連賣
3	,2002.TW,中鋼,30.7,0.16,37216,33,3.26,9,投連賣
4	,3665.TW,貿聯-KY,251,-2.33,1391,316,-18.09,8,投連賣
5	,1308.TW,亞聚,28.2,-0.88,1358,28.55,10.16,6,投連賣
6	,2014.TW,中鴻,27.6,1.1,53751,32.95,-7.2,6,投連賣
7	,2606.TW,裕民,50.1,-3.47,10468,59.4,-9.55,6,投連賣
8	,8046.TW,南電,242,-0.41,10124,407.5,-38.49,6,投連賣
9	,1565.TW,精華,244,0.21,46,269.5,-4.3,5,投連賣
10	,2239.TW,英利-KY,59,-0.84,55,53.5,15.05,5,投連賣
11	,2618.TW,長榮航,28.1,-2.09,27994,31.8,-9.91,5,投連賣
