符合條件商品
資料日期：2022年  6月 22日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/22),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:31 符合檔數(37)
1	,2458.TW,義隆,86.1,-1.71,718,135,-27.93,20,投連賣
2	,2393.TW,億光,37.5,0.94,242,41.9,-2.14,17,投連賣
3	,2610.TW,華航,19,-1.55,26392,23.5,-16.15,11,投連賣
4	,2637.TW,慧洋-KY,64.8,-3.28,13996,68,-4.71,11,投連賣
5	,3661.TW,世芯-KY,803,-1.35,2950,667,21.91,11,投連賣
6	,3037.TW,欣興,125,2.46,35224,158,-19.09,10,投連賣
7	,2603.TW,長榮,167.5,-2.33,36972,102,-14.93,9,投連賣
8	,3532.TW,台勝科,142,-2.07,1152,187.5,-23.15,9,投連賣
9	,5483.TW,中美晶,143.5,-1.37,3418,143,3.57,8,投連賣
10	,1227.TW,佳格,39.4,-0.51,249,45.7,-9.9,7,投連賣
11	,2481.TW,強茂,60.4,-0.33,2094,66.6,-4.26,7,投連賣
12	,2606.TW,裕民,50.1,-3.47,10468,45.5,18.08,7,投連賣
13	,5469.TW,瀚宇博,31.65,-0.94,479,32.1,5.92,7,投連賣
14	,6005.TW,群益證,11.1,0,1344,14.1,-9.46,7,投連賣
15	,6138.TW,茂達,117.5,-0.42,755,153.5,-18.04,7,投連賣
16	,6415.TW,矽力*-KY,445,1.37,2330,2435,-26.9,7,投連賣
17	,8299.TW,群聯,305,-0.81,792,299.5,9.98,7,投連賣
18	,9958.TW,世紀鋼,88.9,-1.22,9352,99.7,-7.41,7,投連賣
19	,1102.TW,亞泥,41.55,0.24,6062,43.6,3.18,6,投連賣
20	,2542.TW,興富發,40.35,-3.93,8630,43.25,12.02,6,投連賣
21	,2886.TW,兆豐金,30.55,-0.97,8425,35.4,-8.09,6,投連賣
22	,3231.TW,緯創,29.9,-0.83,12268,28.55,14.3,6,投連賣
23	,4915.TW,致伸,55.1,-0.9,3460,58.8,-1.08,6,投連賣
24	,4938.TW,和碩,64.2,0.31,3317,68.2,1.76,6,投連賣
25	,5230.TW,雷笛克光學,22.8,0,19,24,-1.72,6,投連賣
26	,5284.TW,jpp-KY,68.8,-2.41,2843,45.05,60.67,6,投連賣
27	,5534.TW,長虹,73.6,2.22,690,71.3,9.43,6,投連賣
28	,6147.TW,頎邦,58.6,0.51,604,64.8,0.5,6,投連賣
29	,1537.TW,廣隆,136.5,-0.36,24,134.5,6.62,5,投連賣
30	,2002.TW,中鋼,30.7,0.16,37216,31,9.92,5,投連賣
31	,2027.TW,大成鋼,43.15,-1.93,15303,35.3,29.93,5,投連賣
32	,2383.TW,台光電,176.5,-0.84,2034,184,1.81,5,投連賣
33	,2385.TW,群光,87.2,0.11,1118,75.2,15.96,5,投連賣
34	,2605.TW,新興,20.65,-3.5,6563,20.8,3.35,5,投連賣
35	,2618.TW,長榮航,28.1,-2.09,27994,31.75,-9.76,5,投連賣
36	,6271.TW,同欣電,201,-4.29,2372,197.5,-3.3,5,投連賣
37	,6488.TW,環球晶,435.5,-2.57,2065,501,-11.45,5,投連賣
