符合條件商品
資料日期：2022年  7月 27日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/27),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:28 符合檔數(10)
1	,1301.TW,台塑,86.8,-0.46,6046,90.2,-3.77,11,投連賣
2	,2640.TW,大車隊,86.4,1.17,61,80,12.94,11,投連賣
3	,4129.TW,聯合,50.6,2.64,2781,28.95,74.78,11,投連賣
4	,3455.TW,由田,80.3,-0.25,313,80.7,5.81,8,投連賣
5	,6288.TW,聯嘉,22.85,-0.44,665,22.85,0,8,投連賣
6	,2313.TW,華通,45.95,-1.08,9582,48.1,-4.47,6,投連賣
7	,6187.TW,萬潤,65,0.93,810,76.4,-14.92,6,投連賣
8	,1476.TW,儒鴻,492.5,1.23,1098,431.5,14.14,5,投連賣
9	,1560.TW,中砂,109.5,-1.35,2814,157.5,-30.48,5,投連賣
10	,3567.TW,逸昌,24.95,0.4,68,28.1,-11.21,5,投連賣
