符合條件商品
資料日期：2021年 11月  1日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/01),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 17:02 符合檔數(10)
1	,1308.TW,亞聚,28.2,-0.88,1358,39.45,-20.29,10,投連賣
2	,1301.TW,台塑,86.8,-0.46,6046,107,-12.18,9,投連賣
3	,6274.TW,台燿,52.5,1.16,910,96,-41.39,9,投連賣
4	,4919.TW,新唐,117,-2.09,4502,131,-6.79,7,投連賣
5	,2303.TW,聯電,41.95,-2.1,34060,57.6,-22.44,6,投連賣
6	,3645.TW,達邁,32.55,-1.21,101,41.65,-19.49,6,投連賣
7	,6147.TW,頎邦,58.6,0.51,604,65.1,0.03,6,投連賣
8	,2368.TW,金像電,88.4,-1.12,3685,66.8,23.93,5,投連賣
9	,3324.TW,雙鴻,151,-0.66,649,163.5,-4.24,5,投連賣
10	,3529.TW,力旺,1350,1.12,770,2380,-42.58,5,投連賣
