符合條件商品
資料日期：2022年  4月 18日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/18),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:41 符合檔數(20)
1	,2344.TW,華邦電,20.1,-0.99,9528,27.25,-23.4,17,投連賣
2	,4966.TW,譜瑞-KY,825,0.86,553,1395,-39.68,13,投連賣
3	,3006.TW,晶豪科,66.2,0,3117,129,-43.6,11,投連賣
4	,8299.TW,群聯,305,-0.81,792,414.5,-20.54,9,投連賣
5	,2351.TW,順德,99.5,1.22,927,130,-21.46,8,投連賣
6	,6415.TW,矽力*-KY,445,1.37,2330,2810,-36.65,8,投連賣
7	,3529.TW,力旺,1350,1.12,770,1410,-3.09,7,投連賣
8	,6196.TW,帆宣,117,-0.43,361,133.5,-8.56,7,投連賣
9	,1531.TW,高林股,13.95,-0.36,46,15,-2.45,6,投連賣
10	,1817.TW,凱撒衛,37.9,0.4,40,35.7,12.63,6,投連賣
11	,2236.TW,百達-KY,23.6,0.43,223,25.95,3.78,6,投連賣
12	,3526.TW,凡甲,117.5,-0.42,125,167.5,-24.41,6,投連賣
13	,6182.TW,合晶,41.8,-0.36,1757,59,-27.11,6,投連賣
14	,6411.TW,晶焱,85.7,-0.35,289,143,-35.98,6,投連賣
15	,8433.TW,弘帆,62.4,0.32,14,44.85,45.66,6,投連賣
16	,2481.TW,強茂,60.4,-0.33,2094,82,-22.25,5,投連賣
17	,5284.TW,jpp-KY,68.8,-2.41,2843,44.4,63.03,5,投連賣
18	,5439.TW,高技,46.85,0,102,51.9,-1.51,5,投連賣
19	,6274.TW,台燿,52.5,1.16,910,68.1,-22.91,5,投連賣
20	,6488.TW,環球晶,435.5,-2.57,2065,600,-26.06,5,投連賣
