符合條件商品
資料日期：2022年  6月 24日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/24),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:31 符合檔數(21)
1	,2393.TW,億光,37.5,0.94,242,41.8,-1.91,19,投連賣
2	,2610.TW,華航,19,-1.55,26392,22.35,-11.83,13,投連賣
3	,2637.TW,慧洋-KY,64.8,-3.28,13996,66.8,-2.99,13,投連賣
4	,3532.TW,台勝科,142,-2.07,1152,184.5,-21.9,11,投連賣
5	,2606.TW,裕民,50.1,-3.47,10468,44.45,20.87,9,投連賣
6	,8299.TW,群聯,305,-0.81,792,294,12.03,9,投連賣
7	,2542.TW,興富發,40.35,-3.93,8630,44.2,9.62,8,投連賣
8	,5230.TW,雷笛克光學,22.8,0,19,22.85,-0.22,8,投連賣
9	,5284.TW,jpp-KY,68.8,-2.41,2843,44.45,62.84,8,投連賣
10	,6147.TW,頎邦,58.6,0.51,604,64.2,1.44,8,投連賣
11	,2002.TW,中鋼,30.7,0.16,37216,29,17.49,7,投連賣
12	,2618.TW,長榮航,28.1,-2.09,27994,30.3,-5.45,7,投連賣
13	,2239.TW,英利-KY,59,-0.84,55,56.7,8.56,6,投連賣
14	,2337.TW,旺宏,35,0.57,15889,36,3.58,6,投連賣
15	,2449.TW,京元電子,36.4,-1.75,4505,41.55,-5.41,6,投連賣
16	,3035.TW,智原,159,0.63,7973,187.5,-13.25,6,投連賣
17	,4919.TW,新唐,117,-2.09,4502,140,-12.78,6,投連賣
18	,6104.TW,創惟,88.8,0.23,2437,160,-44.5,6,投連賣
19	,6548.TW,長科*,29.95,0,316,77.6,-1.35,6,投連賣
20	,3264.TW,欣銓,49.85,-0.89,1243,38.6,29.15,5,投連賣
21	,8155.TW,博智,108,-1.37,385,121,-6.24,5,投連賣
