符合條件商品
資料日期：2021年 11月 22日
策略,	01每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-11-22 18:53 符合檔數(1741)
1	,1101.TW,台泥,47.9,-0.83,12527,0.01,26.26,0.45,2.42
2	,1102.TW,亞泥,44.7,-0.78,5099,0.01,22.86,0.26,2.57
3	,1103.TW,嘉泥,21,-1.41,1003,0,5.77,1.2,0.04
4	,1104.TW,環泥,21.15,-0.24,445,0.01,12.12,1.07,0
5	,1108.TW,幸福,11.9,-0.42,123,0,1.04,3.15,0
6	,1109.TW,信大,21.15,-0.47,343,0,4.72,1.19,0
7	,1110.TW,東泥,23.55,9.53,4802,0.01,7.35,4.12,0.02
8	,1201.TW,味全,22.3,0.45,609,0.01,11.48,2.06,0
9	,1203.TW,味王,33.15,-0.15,4,0,1.86,0.29,0
10	,1210.TW,大成,53,-0.38,1236,0.07,12.17,0.55,0.22
11	,1213.TW,大飲,8.2,0.12,10,0,0.07,0,0
12	,1215.TW,卜蜂,82.3,0.98,1940,0,40.19,0.95,0.87
13	,1216.TW,統一,67.5,-1.03,4183,0,45.11,0.09,1.14
14	,1217.TW,愛之味,10.55,0.48,1306,0.03,8.21,10.89,0
15	,1218.TW,泰山,27.4,-0.18,308,0.01,2.29,1.8,0
16	,1219.TW,福壽,20.75,-0.95,399,0,4.01,8.65,0.03
17	,1220.TW,台榮,15.45,-0.32,98,0.05,7.41,2.24,0
18	,1225.TW,福懋油,50.4,0,52,0,0.76,8.68,0
19	,1227.TW,佳格,51.7,0.39,467,0,7.11,1,0.17
20	,1229.TW,聯華,57,-0.52,1332,0,12.14,0.28,0.1
21	,1231.TW,聯華食,68.3,-0.29,99,0,2.01,0.24,0.02
22	,1232.TW,大統益,166,-0.6,51,0,2.17,0.15,0.71
23	,1233.TW,天仁,33.65,-0.44,4,0,5.28,0,0
24	,1234.TW,黑松,35.4,-0.14,85,0,5.23,0.13,0
25	,1235.TW,興泰,44.65,0,13,0,0.22,20.9,0
26	,1236.TW,宏亞,22.25,-4.91,4818,0.14,0.35,7.17,0
27	,1240.TW,茂生農經,51,0,8,0,0.29,1.04,0
28	,1256.TW,鮮活果汁-KY,361.5,-0.14,25,0,5.22,1.41,0.1
29	,1258.TW,其祥-KY,17.75,1.43,9,0,72.04,0.27,0
30	,1259.TW,安心,69.3,0.29,1,0,26.29,0.12,0
31	,1264.TW,德麥,295,0,17,0,7.83,0.05,0
32	,1268.TW,漢來美食,120,-0.41,16,0,0.19,0.48,0
33	,1301.TW,台塑,104.5,0.97,9244,0,39.24,0.16,0.98
34	,1303.TW,南亞,85.5,0.59,6119,0,34,0.17,0.89
35	,1304.TW,台聚,32.7,-0.91,8919,0.13,40.86,5.96,0.13
36	,1305.TW,華夏,34.85,-0.43,5807,0.1,13.28,12.17,0.09
37	,1307.TW,三芳,20.9,0,88,0,11.31,0.57,0
38	,1308.TW,亞聚,37.85,1.47,7276,0.16,10.54,16.71,0.1
39	,1309.TW,台達化,35.05,1.01,1046,1.51,3.24,9.21,0
40	,1310.TW,台苯,17.65,0,1890,0.01,8.94,5.6,0.02
41	,1312.TW,國喬,28.3,-0.7,6465,0.36,27.11,23.77,0
42	,1313.TW,聯成,21.95,-0.9,4699,0.05,9.1,5.79,0.01
43	,1314.TW,中石化,13.3,0.38,24605,0,12.19,18.67,0.01
44	,1315.TW,達新,64.7,-0.15,31,0,1.68,1.47,0.02
45	,1316.TW,上曜,21.2,0,20617,8.65,3.61,65.55,0
46	,1319.TW,東陽,33.65,1.2,548,0.01,15.13,2.31,0.11
47	,1321.TW,大洋,35.7,2,579,0,2.5,3.6,0
48	,1323.TW,永裕,35.3,0,182,0,3.47,1.17,0
49	,1324.TW,地球,11,-0.9,273,0.02,0.74,2.2,0
50	,1325.TW,恆大,41,3.27,656,9.94,9.57,17.52,0
51	,1326.TW,台化,80.2,-0.74,3661,0,36.08,0.11,0.49
52	,1336.TW,台翰,20.7,-0.24,42,0.03,1.35,11.92,0
53	,1337.TW,再生-KY,7.26,-0.68,546,0.12,24.62,24.52,0
54	,1338.TW,廣華-KY,51.4,0.19,81,0,8.72,16.38,0
55	,1339.TW,昭輝,34.3,0.29,36,0,1.16,4.55,0
56	,1340.TW,勝悅-KY,11.6,0.87,190,0.05,28.67,4.42,0
57	,1341.TW,富林-KY,68.6,0.88,4,0,83.67,0,0
58	,1342.TW,八貫,56.4,0.18,63,0,53.53,2.27,0
59	,1402.TW,遠東新,29.15,-0.85,8329,0.01,18.61,0.65,1.22
60	,1409.TW,新纖,20.1,0.5,5537,0.01,13.54,3.35,0
61	,1410.TW,南染,37.3,-0.13,54,0,20.92,2.37,0
62	,1413.TW,宏洲,10.15,0.5,152,0,0.33,0,0
63	,1414.TW,東和,17,-0.58,683,0.07,0.96,14.44,0.06
64	,1416.TW,廣豐,11.2,-0.44,173,0,9.33,13.81,0
65	,1417.TW,嘉裕,14.85,0.68,244,0.02,2.9,9.12,0
66	,1418.TW,東華,10.7,0.94,0,0,0.59,0,0
67	,1419.TW,新紡,41.95,0.96,29,0,2.1,0.55,0
68	,1423.TW,利華,19.35,1.31,140,0.02,1.39,8.32,0
69	,1432.TW,大魯閣,13.05,1.56,54,0,0.25,0,0
70	,1434.TW,福懋,29.25,-0.34,1784,0,16.67,0.38,4.06
71	,1435.TW,中福,27.05,0.19,94,0,0.19,0,0
72	,1436.TW,華友聯,54.1,-0.37,79,0.03,0.44,2.37,0
73	,1437.TW,勤益控,25.7,-0.19,146,0,5.25,2.24,0
74	,1438.TW,三地開發,33.95,1.8,429,0.12,0.37,4.06,0
75	,1439.TW,中和,24.2,-3.2,65,0,0.47,2.83,0
76	,1440.TW,南紡,23.65,1.07,5064,0.16,5.67,7.07,0.08
77	,1441.TW,大東,9.41,0.32,84,0,1.49,0,0
78	,1442.TW,名軒,24.75,1.02,748,0.34,4.26,11.13,0.03
79	,1443.TW,立益,17,1.49,60,0,0.14,0,0
80	,1444.TW,力麗,11.5,0.44,3132,0.15,6.97,8.03,0.09
81	,1445.TW,大宇,15,1.01,412,0.01,1.79,10.51,0.02
82	,1446.TW,宏和,33.45,-0.74,135,0,1.3,10.24,0
83	,1447.TW,力鵬,10.35,0.98,1924,0.06,6.82,9.9,0.11
84	,1449.TW,佳和,16.5,10,1261,0,16.25,7.83,0
85	,1451.TW,年興,21.2,-0.47,107,0,8.38,2.34,0
86	,1452.TW,宏益,23.3,0.43,248,0.08,4.39,7.93,0
87	,1453.TW,大將,8.61,-0.23,75,0,0.25,3.06,0
88	,1454.TW,台富,10.8,0.93,157,0,0.5,10.6,0
89	,1455.TW,集盛,16.4,0,2808,0.23,1.92,20.29,0
90	,1456.TW,怡華,21.45,-1.15,151,0.03,13.98,6.83,0
91	,1457.TW,宜進,17.95,0.56,480,0.16,1.98,5.15,0
92	,1459.TW,聯發,14.15,2.17,972,0,1.81,0,0.08
93	,1460.TW,宏遠,9.54,0.21,1856,0,2.73,0,0
94	,1463.TW,強盛,14.15,0,60,0,2.44,4.47,0
95	,1464.TW,得力,16,-0.31,324,0,1.75,2.43,0.02
96	,1465.TW,偉全,12.4,0,30,0,0.5,19.38,0
97	,1466.TW,聚隆,15.6,0,199,0.04,1.63,18.75,0
98	,1467.TW,南緯,15.05,0,10253,0.03,21.34,32.46,0
99	,1468.TW,昶和,13.05,0,70,0,1.82,0,0
100	,1470.TW,大統新創,18.35,2.23,110,0,0.18,0.06,0
101	,1471.TW,首利,7.54,0.27,342,0,0.25,0,0
102	,1472.TW,三洋實業,35,0,15,0,0.22,0,0
103	,1473.TW,台南,18,0,22,0,9.08,1.17,0
104	,1474.TW,弘裕,14.85,0.68,483,0.01,1.6,17.08,0
105	,1475.TW,業旺,47.95,0.74,17,0,0.5,0,0
106	,1476.TW,儒鴻,629,-0.63,491,0.03,44.46,0.43,1.51
