符合條件商品
資料日期：2021年 11月 26日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/26),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:37 符合檔數(41)
1	,2881.TW,富邦金,56.7,-0.18,6587,74.2,-14.72,20,自連賣
2	,6176.TW,瑞儀,106,0.47,1064,97,19.03,16,自連賣
3	,2356.TW,英業達,26,0.19,6530,25.8,7,15,自連賣
4	,1449.TW,佳和,16.75,9.84,963,15,-23.06,14,自連賣
5	,2404.TW,漢唐,182,-2.41,755,177.5,11.14,11,自連賣
6	,1102.TW,亞泥,41.55,0.24,6062,42.25,6.48,10,自連賣
7	,3178.TW,公準,62.4,0.16,23,74.5,-14.93,8,自連賣
8	,2883.TW,開發金,12.7,-0.78,8936,16.35,-16.45,7,自連賣
9	,3023.TW,信邦,275.5,-0.18,232,258.5,9.24,7,自連賣
10	,4906.TW,正文,27.35,0.18,879,27.1,7,7,自連賣
11	,4968.TW,立積,113.5,2.25,1398,284,-59.03,7,自連賣
12	,5299.TW,杰力,113,0.89,114,182,-32.64,7,自連賣
13	,6525.TW,捷敏-KY,69.3,-0.29,80,92,-19.25,7,自連賣
14	,8150.TW,南茂,32.9,1.23,1428,45.2,-19.48,7,自連賣
15	,1609.TW,大亞,20.5,0.49,2261,24.55,-10.13,6,自連賣
16	,2065.TW,世豐,50.9,-0.2,24,47.5,22.03,6,自連賣
17	,2406.TW,國碩,18.8,-1.05,970,22.9,-17.9,6,自連賣
18	,2409.TW,友達,15.4,0.65,36394,20.55,-25.68,6,自連賣
19	,3380.TW,明泰,28.55,-1.04,598,28.3,3.71,6,自連賣
20	,6116.TW,彩晶,11.1,0.91,3518,15.35,-21.72,6,自連賣
21	,8442.TW,威宏-KY,75.4,0.27,33,42.9,78,6,自連賣
22	,8924.TW,大田,120.5,0.42,199,154,-13.13,6,自連賣
23	,1444.TW,力麗,10.3,0,557,11.2,-5.33,5,自連賣
24	,2104.TW,國際中橡,19.6,0.77,1331,26.3,-24.7,5,自連賣
25	,2338.TW,光罩,86.3,0.94,3470,98.1,-9.71,5,自連賣
26	,2351.TW,順德,99.5,1.22,927,158,-35.38,5,自連賣
27	,2363.TW,矽統,15.95,-0.93,935,25.2,-27.96,5,自連賣
28	,2449.TW,京元電子,36.4,-1.75,4505,42.05,-6.52,5,自連賣
29	,2486.TW,一詮,21.55,-0.23,1380,53.8,-59.42,5,自連賣
30	,3162.TW,精確,49,-1.31,3011,48.2,1.66,5,自連賣
31	,3504.TW,揚明光,77.8,1.17,665,120.5,-35.44,5,自連賣
32	,3533.TW,嘉澤,829,0.36,375,672,26.46,5,自連賣
33	,3596.TW,智易,98.3,-0.2,490,106,-1.13,5,自連賣
34	,4551.TW,智伸科,146,-0.68,691,178,-15.4,5,自連賣
35	,5263.TW,智崴,123.5,-3.52,358,137.5,-10.18,5,自連賣
36	,5351.TW,鈺創,40.7,3.83,7029,83.6,-47.99,5,自連賣
37	,5371.TW,中光電,55,-0.36,3464,83.2,-28.86,5,自連賣
38	,5425.TW,台半,75.3,0,4216,76.5,1.59,5,自連賣
39	,6233.TW,旺玖,20.55,-0.96,152,35.9,-42.76,5,自連賣
40	,6282.TW,康舒,30.4,0.83,1860,34.4,-8.82,5,自連賣
41	,6788.TW,華景電,95.1,-0.21,282,217,-54.07,5,自連賣
