符合條件商品
資料日期：2022年 10月 20日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/20),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:42 符合檔數(9)
1	,4577.TW,達航科技,31.15,0.16,67,28.15,10.66,18,自連賣
2	,6585.TW,鼎基,55.9,6.88,488,48.9,14.31,17,自連賣
3	,1717.TW,長興,31.5,-1.25,930,31.05,1.45,10,自連賣
4	,8131.TW,福懋科,38.4,-0.78,269,38.85,-1.16,10,自連賣
5	,2851.TW,中再保,18.45,1.1,929,17.8,3.65,9,自連賣
6	,6192.TW,巨路,69.2,-0.86,148,65.9,5.01,8,自連賣
7	,6834.TW,天二科技,25.1,-1.38,20,22.9,9.61,7,自連賣
8	,2731.TW,雄獅,102.5,0.99,1497,79.5,28.93,6,自連賣
9	,5388.TW,中磊,77.4,-0.13,1579,78.7,-1.65,6,自連賣
