符合條件商品
資料日期：2022年  7月  6日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/06),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:09 符合檔數(16)
1	,2542.TW,興富發,40.35,-3.93,8630,44.2,9.62,8,自連賣
2	,4157.TW,太景*-KY,16.15,-1.52,3200,16.35,-1.22,8,自連賣
3	,2338.TW,光罩,86.3,0.94,3470,64.2,37.97,7,自連賣
4	,3324.TW,雙鴻,151,-0.66,649,137.5,9.82,7,自連賣
5	,6111.TW,大宇資,61.4,3.89,5227,69.1,20.06,7,自連賣
6	,6435.TW,大中,99,-0.3,127,114,-7.78,7,自連賣
7	,6706.TW,惠特,89.3,1.59,265,114,-14.91,6,自連賣
8	,8255.TW,朋程,177,5.04,12777,125,41.6,6,自連賣
9	,3141.TW,晶宏,79.9,0.63,950,108,-23.17,5,自連賣
10	,3211.TW,順達,73.1,-0.14,70,65.3,11.94,5,自連賣
11	,3374.TW,精材,99.5,-1.49,1508,111.5,-10.76,5,自連賣
12	,3680.TW,家登,254.5,0.79,478,168,53.77,5,自連賣
13	,4123.TW,晟德,46.35,0.65,1096,57.2,-3.26,5,自連賣
14	,4721.TW,美琪瑪,102.5,-0.49,487,111,-4.54,5,自連賣
15	,6411.TW,晶焱,85.7,-0.35,289,104,-11.97,5,自連賣
16	,8390.TW,金益鼎,36.8,-2.26,415,27.45,22.91,5,自連賣
