符合條件商品
資料日期：2021年 12月 29日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/29),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:32 符合檔數(15)
1	,2542.TW,興富發,40.35,-3.93,8630,46.25,4.75,19,自連賣
2	,4571.TW,鈞興-KY,73.8,-0.14,9,100,-22.06,12,自連賣
3	,1102.TW,亞泥,41.55,0.24,6062,44.25,1.66,8,自連賣
4	,2034.TW,允強,29.6,-0.5,3354,32.3,-3.05,8,自連賣
5	,4961.TW,天鈺,117,0.86,1402,278.5,-51.7,8,自連賣
6	,5287.TW,數字,190.5,-0.26,4,267,-8.84,8,自連賣
7	,2028.TW,威致,29.2,0.69,4120,43.45,-25.19,7,自連賣
8	,2887.TW,台新金,15.2,0,6593,18.95,-12.79,7,自連賣
9	,3034.TW,聯詠,301.5,-0.17,3163,534,-31.86,6,自連賣
10	,3443.TW,創意,726,-0.55,5389,591,24.38,6,自連賣
11	,5234.TW,達興材料,67.2,0.15,91,140,-48.74,6,自連賣
12	,3231.TW,緯創,29.9,-0.83,12268,29.25,11.57,5,自連賣
13	,3317.TW,尼克森,54.9,-0.18,176,79,-29.18,5,自連賣
14	,3652.TW,精聯,22.9,-0.87,27,22.5,3.81,5,自連賣
15	,4952.TW,凌通,47.85,0.1,191,68.2,-24.2,5,自連賣
