符合條件商品
資料日期：2022年  9月  1日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/01),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:01 符合檔數(33)
1	,3026.TW,禾伸堂,89.9,0,51,88.7,1.35,20,自連賣
2	,8039.TW,台虹,41,-0.61,92,40.8,0.49,20,自連賣
3	,2614.TW,東森,23.3,1.75,3526,23.8,-2.1,10,自連賣
4	,3010.TW,華立,85.6,1.66,269,91.3,-6.24,10,自連賣
5	,3293.TW,鈊象,425.5,-0.23,3602,370,15,10,自連賣
6	,3209.TW,全科,35.5,-0.42,228,37.3,-4.83,9,自連賣
7	,3705.TW,永信,45.4,-0.77,5788,41.15,10.33,9,自連賣
8	,2383.TW,台光電,176.5,-0.84,2034,157.5,12.06,8,自連賣
9	,1737.TW,臺鹽,32.15,0,25,32.95,-2.43,7,自連賣
10	,2605.TW,新興,20.65,-3.5,6563,20.75,-0.48,7,自連賣
11	,3708.TW,上緯投控,94.6,-1.77,1112,99.8,-5.21,7,自連賣
12	,4720.TW,德淵,14.05,0.72,90,17.9,-21.51,7,自連賣
13	,8086.TW,宏捷科,67.7,1.04,620,80.8,-16.21,7,自連賣
14	,8112.TW,至上,36.05,0.7,471,37.2,-3.09,7,自連賣
15	,2027.TW,大成鋼,43.15,-1.93,15303,38.65,11.64,6,自連賣
16	,2031.TW,新光鋼,44,-0.56,5573,37.4,17.65,6,自連賣
17	,2239.TW,英利-KY,59,-0.84,55,74.9,-21.23,6,自連賣
18	,2486.TW,一詮,21.55,-0.23,1380,24.15,-10.77,6,自連賣
19	,3023.TW,信邦,275.5,-0.18,232,282.5,-2.48,6,自連賣
20	,3218.TW,大學光,290,0.17,438,319,-9.09,6,自連賣
21	,4755.TW,三福化,119,0,366,146,-18.49,6,自連賣
22	,4763.TW,材料-KY,172,-4.44,2683,127,44.17,6,自連賣
23	,6691.TW,洋基工程,197,0.25,42,178.5,10.36,6,自連賣
24	,1526.TW,日馳,41.1,-0.6,88,58.7,-27.17,5,自連賣
25	,2401.TW,凌陽,22.85,-0.87,807,26.2,-12.79,5,自連賣
26	,2419.TW,仲琦,24.15,-0.41,1040,29.6,-18.41,5,自連賣
27	,3003.TW,健和興,70.4,0.28,187,82.1,-14.25,5,自連賣
28	,3017.TW,奇鋐,111,-1.77,2015,105.5,5.21,5,自連賣
29	,4551.TW,智伸科,146,-0.68,691,154.5,-5.5,5,自連賣
30	,6257.TW,矽格,48.85,0.31,824,50.3,-2.88,5,自連賣
31	,6719.TW,力智,256,-0.97,769,287,-10.8,5,自連賣
32	,6756.TW,威鋒電子,191,-2.05,282,246.5,-22.52,5,自連賣
33	,6806.TW,森崴能源,82.9,0.61,8626,78.3,5.87,5,自連賣
