符合條件商品
資料日期：2021年 12月 15日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/15),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:34 符合檔數(47)
1	,1314.TW,中石化,9.86,-1,4928,12.3,-16.51,15,自連賣
2	,1316.TW,上曜,11.85,-1.25,498,20.55,-46.84,12,自連賣
3	,1101.TW,台泥,34.05,-1.16,23484,46.95,-18.27,10,自連賣
4	,1102.TW,亞泥,41.55,0.24,6062,43.4,3.67,10,自連賣
5	,1717.TW,長興,31.5,-1.25,930,36.3,-12.23,10,自連賣
6	,2458.TW,義隆,86.1,-1.71,718,158.5,-38.61,10,自連賣
7	,2883.TW,開發金,12.7,-0.78,8936,16.55,-17.48,10,自連賣
8	,2915.TW,潤泰全,66.7,0.15,4192,94.2,-23.25,10,自連賣
9	,3044.TW,健鼎,96,1.59,1391,122,-15.8,10,自連賣
10	,2408.TW,南亞科,51.4,-0.58,5241,76,-27.68,9,自連賣
11	,2542.TW,興富發,40.35,-3.93,8630,46.6,3.97,9,自連賣
12	,3028.TW,增你強,28.6,1.06,236,32.8,-2.46,9,自連賣
13	,3576.TW,聯合再生,20.4,-0.73,3970,21.4,-4.67,9,自連賣
14	,1460.TW,宏遠,7.14,-0.7,336,9.5,-24.84,8,自連賣
15	,2303.TW,聯電,41.95,-2.1,34060,62.7,-28.75,8,自連賣
16	,3042.TW,晶技,83,0.73,539,101,-10.43,8,自連賣
17	,5371.TW,中光電,55,-0.36,3464,81,-26.93,8,自連賣
18	,6205.TW,詮欣,70.9,-0.7,430,64.2,14.04,8,自連賣
19	,6261.TW,久元,58,-0.51,75,81.9,-23.87,8,自連賣
20	,6435.TW,大中,99,-0.3,127,142.5,-26.22,8,自連賣
21	,2404.TW,漢唐,182,-2.41,755,171.5,15.03,7,自連賣
22	,4743.TW,合一,259.5,-1.14,14786,288.5,-10.05,7,自連賣
23	,4938.TW,和碩,64.2,0.31,3317,67.7,2.51,7,自連賣
24	,4958.TW,臻鼎-KY,108,-1.37,2633,96.1,17.69,7,自連賣
25	,5236.TW,凌陽創新,67.6,0.15,48,157,-52.31,7,自連賣
26	,2201.TW,裕隆,59.1,-1.01,17319,41.15,49.13,6,自連賣
27	,2331.TW,精英,21.45,-0.46,679,22,-2.5,6,自連賣
28	,2353.TW,宏碁,23.15,0.22,5082,29.1,-12.58,6,自連賣
29	,5356.TW,協益,20.55,0,36,29.3,-25.68,6,自連賣
30	,6525.TW,捷敏-KY,69.3,-0.29,80,89.7,-17.18,6,自連賣
31	,1513.TW,中興電,66,0.15,12515,43.55,59.73,5,自連賣
32	,2317.TW,鴻海,101,0,15490,105,1.15,5,自連賣
33	,2344.TW,華邦電,20.1,-0.99,9528,30.75,-32.09,5,自連賣
34	,2439.TW,美律,79.5,0.63,452,93.9,-11.1,5,自連賣
35	,2888.TW,新光金,8.75,-0.57,13386,10.45,-12.5,5,自連賣
36	,3019.TW,亞光,61.6,-1.28,472,92.1,-28.38,5,自連賣
37	,3374.TW,精材,99.5,-1.49,1508,136.5,-25.57,5,自連賣
38	,3465.TW,進泰電子,80.4,-0.74,16,237.5,-64.34,5,自連賣
39	,3515.TW,華擎,140.5,2.93,1979,279.5,-42.78,5,自連賣
40	,3624.TW,光頡,40.35,0.62,414,58.9,-28.58,5,自連賣
41	,4142.TW,國光生,36.45,0.83,953,43.1,-15.43,5,自連賣
42	,4736.TW,泰博,186,-0.53,4377,174.5,15.36,5,自連賣
43	,6173.TW,信昌電,34.45,-1.57,150,59.6,-39.03,5,自連賣
44	,6182.TW,合晶,41.8,-0.36,1757,81.8,-47.43,5,自連賣
45	,6217.TW,中探針,43.75,0.69,482,52.4,-14.28,5,自連賣
46	,8028.TW,昇陽半導體,57.5,-2.87,2439,48.7,26.65,5,自連賣
47	,8044.TW,網家,53.2,0.95,575,122,-56.06,5,自連賣
