符合條件商品
資料日期：2022年 11月  9日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/09),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:35 符合檔數(15)
1	,2889.TW,國票金,11.35,0,2314,11.45,-0.87,11,自連賣
2	,2474.TW,可成,169,-1.74,2651,176.5,-4.25,10,自連賣
3	,6690.TW,安碁資訊,112,0,4,108,3.7,10,自連賣
4	,2358.TW,廷鑫,14.7,-2,2597,15.55,-3.8,8,自連賣
5	,3005.TW,神基,43.55,0.35,857,40.1,8.6,8,自連賣
6	,5536.TW,聖暉*,102.5,-0.97,167,97.1,5.56,8,自連賣
7	,2352.TW,佳世達,27.5,1.66,4573,26.7,3,7,自連賣
8	,2867.TW,三商壽,5.51,-2.3,17135,5.51,0,6,自連賣
9	,2886.TW,兆豐金,30.55,-0.97,8425,30.5,0.16,6,自連賣
10	,1301.TW,台塑,86.8,-0.46,6046,86,0.93,5,自連賣
11	,3008.TW,大立光,2140,0,324,1955,9.46,5,自連賣
12	,6763.TW,綠界科技,412,7.57,105,361.5,13.97,5,自連賣
13	,9927.TW,泰銘,37.6,-0.4,61,36.6,2.73,5,自連賣
14	,9941.TW,裕融,156.5,0,327,143.5,9.06,5,自連賣
15	,9945.TW,潤泰新,43.65,-1.58,3379,43.6,0.11,5,自連賣
