符合條件商品
資料日期：2021年 12月  6日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/06),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:36 符合檔數(35)
1	,1449.TW,佳和,16.75,9.84,963,15.05,-23.31,20,自連賣
2	,2881.TW,富邦金,56.7,-0.18,6587,74.1,-14.61,20,自連賣
3	,6683.TW,雍智科技,189.5,0.26,103,316.5,-37.71,9,自連賣
4	,9908.TW,大台北,31.45,0.96,26,33.15,-1.93,9,自連賣
5	,1314.TW,中石化,9.86,-1,4928,12.65,-18.85,8,自連賣
6	,2809.TW,京城銀,33.9,-3.42,3989,40.1,-10.55,8,自連賣
7	,4966.TW,譜瑞-KY,825,0.86,553,2030,-58.24,7,自連賣
8	,1903.TW,士紙,49.45,-0.4,28,64.9,-23.81,6,自連賣
9	,2332.TW,友訊,15.6,0,3528,18.15,-12.46,6,自連賣
10	,2505.TW,國揚,18.25,-0.82,64,23.8,-23.32,6,自連賣
11	,3081.TW,聯亞,110.5,-0.9,1673,193.5,-41.31,6,自連賣
12	,4571.TW,鈞興-KY,73.8,-0.14,9,103,-24.33,6,自連賣
13	,6741.TW,91APP*-KY,114.5,-4.98,4956,281,-59.08,6,自連賣
14	,8103.TW,瀚荃,31.9,0,42,50.3,-32.9,6,自連賣
15	,1316.TW,上曜,11.85,-1.25,498,20.45,-46.57,5,自連賣
16	,1528.TW,恩德,10.1,0,151,11.2,-9.01,5,自連賣
17	,1612.TW,宏泰,16.5,-1.2,304,25.1,-24.1,5,自連賣
18	,2009.TW,第一銅,31.95,0.79,2420,43.3,-23.34,5,自連賣
19	,2012.TW,春雨,23.9,0,133,29.9,-11.55,5,自連賣
20	,2534.TW,宏盛,22.85,0.22,2104,22.8,5.35,5,自連賣
21	,2801.TW,彰銀,17.25,-0.29,2566,16.7,7.28,5,自連賣
22	,2832.TW,台產,20.45,-0.24,88,20.1,5.52,5,自連賣
23	,2836.TW,高雄銀,12.5,-0.4,467,11.75,12.71,5,自連賣
24	,3105.TW,穩懋,138,0.36,2757,355,-59.1,5,自連賣
25	,3357.TW,臺慶科,80.1,-0.5,17,128,-31.86,5,自連賣
26	,3508.TW,位速,35.7,-1.52,582,61.7,-42.14,5,自連賣
27	,3529.TW,力旺,1350,1.12,770,1995,-31.5,5,自連賣
28	,3532.TW,台勝科,142,-2.07,1152,260.5,-44.69,5,自連賣
29	,3653.TW,健策,369.5,-0.81,1389,430,-3.51,5,自連賣
30	,3704.TW,合勤控,33.85,-2.31,2930,31.9,1.29,5,自連賣
31	,4564.TW,元翎,23.85,-0.21,147,40.6,-38.5,5,自連賣
32	,4760.TW,勤凱,47.2,-0.84,22,97.4,-47.29,5,自連賣
33	,6214.TW,精誠,70,-0.28,922,85.6,-12.4,5,自連賣
34	,8114.TW,振樺電,110,0.92,219,108,5.41,5,自連賣
35	,8210.TW,勤誠,74.2,-1.07,96,73.3,6.09,5,自連賣
