符合條件商品
資料日期：2022年  7月  5日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/05),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:09 符合檔數(13)
1	,3260.TW,威剛,57.6,-0.17,970,57.6,9.46,14,自連賣
2	,2542.TW,興富發,40.35,-3.93,8630,44.65,8.53,7,自連賣
3	,4157.TW,太景*-KY,16.15,-1.52,3200,15.95,1.25,7,自連賣
4	,2338.TW,光罩,86.3,0.94,3470,66.6,32.99,6,自連賣
5	,3324.TW,雙鴻,151,-0.66,649,152.5,-0.98,6,自連賣
6	,6111.TW,大宇資,61.4,3.89,5227,72.9,13.81,6,自連賣
7	,6435.TW,大中,99,-0.3,127,116.5,-9.76,6,自連賣
8	,5904.TW,寶雅,447.5,-0.33,243,361.5,28.81,5,自連賣
9	,6706.TW,惠特,89.3,1.59,265,119.5,-18.83,5,自連賣
10	,8086.TW,宏捷科,67.7,1.04,620,70.7,-0.29,5,自連賣
11	,8112.TW,至上,36.05,0.7,471,40.45,-0.61,5,自連賣
12	,8255.TW,朋程,177,5.04,12777,140,30.15,5,自連賣
13	,9951.TW,皇田,66.9,-0.15,95,62.9,11.95,5,自連賣
