符合條件商品
資料日期：2022年  3月 23日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/23),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:24 符合檔數(9)
1	,1904.TW,正隆,27.15,-1.09,381,35.1,-17.4,9,自連賣
2	,2542.TW,興富發,40.35,-3.93,8630,45.95,5.44,7,自連賣
3	,2945.TW,三商家購,42.25,0,0,62.4,-28.58,7,自連賣
4	,3310.TW,佳穎,41.9,-0.12,23,39.15,13.46,7,自連賣
5	,2357.TW,華碩,271,-1.63,1392,372.5,-16.22,5,自連賣
6	,2406.TW,國碩,18.8,-1.05,970,25.65,-26.71,5,自連賣
7	,3605.TW,宏致,32,-1.23,111,50.8,-34.51,5,自連賣
8	,5498.TW,凱崴,11.45,1.33,784,12.4,-7.66,5,自連賣
9	,6206.TW,飛捷,65.6,0.46,146,73.8,-7.1,5,自連賣
