符合條件商品
資料日期：2022年 11月  8日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/08),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:36 符合檔數(15)
1	,4577.TW,達航科技,31.15,0.16,67,34.2,-8.92,20,自連賣
2	,2889.TW,國票金,11.35,0,2314,11.35,0,10,自連賣
3	,2474.TW,可成,169,-1.74,2651,174.5,-3.15,9,自連賣
4	,6690.TW,安碁資訊,112,0,4,106,5.66,9,自連賣
5	,2358.TW,廷鑫,14.7,-2,2597,15.75,-5.04,7,自連賣
6	,3005.TW,神基,43.55,0.35,857,39.5,10.25,7,自連賣
7	,5536.TW,聖暉*,102.5,-0.97,167,96,6.77,7,自連賣
8	,2352.TW,佳世達,27.5,1.66,4573,26.5,3.77,6,自連賣
9	,8086.TW,宏捷科,67.7,1.04,620,62.7,7.97,6,自連賣
10	,2867.TW,三商壽,5.51,-2.3,17135,5.47,0.73,5,自連賣
11	,2886.TW,兆豐金,30.55,-0.97,8425,30.4,0.49,5,自連賣
12	,3481.TW,群創,11.1,0,42046,12.75,-12.94,5,自連賣
13	,6244.TW,茂迪,28.35,0,3256,24.55,15.48,5,自連賣
14	,6472.TW,保瑞,406.5,-2.28,4588,317.5,28.03,5,自連賣
15	,6547.TW,高端疫苗,71.1,0.28,1683,66.8,6.44,5,自連賣
