符合條件商品
資料日期：2022年  7月 21日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/21),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:06 符合檔數(17)
1	,6244.TW,茂迪,28.35,0,3256,28.25,1.11,12,自連賣
2	,3162.TW,精確,49,-1.31,3011,45.6,7.46,11,自連賣
3	,4139.TW,馬光-KY,41.3,-2.59,36,46.4,-10.99,9,自連賣
4	,5283.TW,禾聯碩,104.5,0.48,36,100.5,7.83,7,自連賣
5	,1907.TW,永豐餘,24.45,-1.21,810,23.55,3.82,6,自連賣
6	,6163.TW,華電網,14.85,-2.62,585,14.75,2.7,6,自連賣
7	,6288.TW,聯嘉,22.85,-0.44,665,22.95,-0.44,6,自連賣
8	,8464.TW,億豐,278.5,-1.42,255,285.5,-2.45,6,自連賣
9	,1905.TW,華紙,16.25,-1.81,591,16.9,-3.85,5,自連賣
10	,2065.TW,世豐,50.9,-0.2,24,43.75,19.74,5,自連賣
11	,2323.TW,中環,7.4,-1.33,1685,7.59,2.49,5,自連賣
12	,2539.TW,櫻花建,31.95,0,247,32.35,13.14,5,自連賣
13	,2630.TW,亞航,16.85,-0.88,37,16.85,7.46,5,自連賣
14	,2937.TW,集雅社,36.5,0.27,20,39,-0.71,5,自連賣
15	,3049.TW,和鑫,9.18,-0.54,1037,9.67,-5.07,5,自連賣
16	,3105.TW,穩懋,138,0.36,2757,188.5,-26.79,5,自連賣
17	,5521.TW,工信,6.75,0,537,6.87,-1.75,5,自連賣
