符合條件商品
資料日期：2022年  1月 26日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/26),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:30 符合檔數(163)
79	,6285.TW,啟碁,80.8,-2.3,4232,70.1,18.98,7,自連賣
80	,6443.TW,元晶,34.1,1.19,7879,35.4,-3.67,7,自連賣
81	,8040.TW,九暘,54.7,1.3,584,60.2,-7.77,7,自連賣
82	,8183.TW,精星,54.1,-0.18,400,53.6,3.15,7,自連賣
83	,8255.TW,朋程,177,5.04,12777,204.5,-10.9,7,自連賣
84	,8299.TW,群聯,305,-0.81,792,448.5,-26.56,7,自連賣
85	,9945.TW,潤泰新,43.65,-1.58,3379,63.7,6.08,7,自連賣
86	,1210.TW,大成,45.45,1.91,1876,52.2,-6.02,6,自連賣
87	,1227.TW,佳格,39.4,-0.51,249,51.4,-19.89,6,自連賣
88	,1304.TW,台聚,22.1,1.61,6105,27.55,-11.99,6,自連賣
89	,1313.TW,聯成,13.8,-1.78,1516,20.5,-29.16,6,自連賣
90	,1314.TW,中石化,9.86,-1,4928,12.1,-15.15,6,自連賣
91	,1409.TW,新纖,17.9,0.28,1722,19.2,0.51,6,自連賣
92	,1519.TW,華城,48.9,2.09,3632,37.5,33.94,6,自連賣
93	,1532.TW,勤美,28.45,-0.52,120,33.25,-8.08,6,自連賣
94	,1565.TW,精華,244,0.21,46,287,-10.13,6,自連賣
95	,2031.TW,新光鋼,44,-0.56,5573,52.2,-6.16,6,自連賣
96	,2314.TW,台揚,38.25,-0.13,479,60.5,-36.78,6,自連賣
97	,2323.TW,中環,7.4,-1.33,1685,10.4,-25.18,6,自連賣
98	,2344.TW,華邦電,20.1,-0.99,9528,29.95,-30.28,6,自連賣
99	,2367.TW,燿華,17.5,-0.57,2708,17.6,-0.57,6,自連賣
100	,2379.TW,瑞昱,289,-0.52,1352,526,-40.19,6,自連賣
101	,2486.TW,一詮,21.55,-0.23,1380,42.95,-49.16,6,自連賣
102	,2515.TW,中工,8.25,-0.48,1107,8.77,0,6,自連賣
103	,2520.TW,冠德,28.65,0.7,326,35.5,-11.95,6,自連賣
104	,2539.TW,櫻花建,31.95,0,247,30.75,19.04,6,自連賣
105	,2617.TW,台航,27.25,-1.27,1531,31.6,-7.12,6,自連賣
106	,2634.TW,漢翔,34.55,3.13,14471,29.1,19.97,6,自連賣
107	,2836.TW,高雄銀,12.5,-0.4,467,13.45,-1.5,6,自連賣
108	,2882.TW,國泰金,41.15,1.86,33982,63.3,-30.06,6,自連賣
109	,2883.TW,開發金,12.7,-0.78,8936,18.2,-24.94,6,自連賣
110	,3042.TW,晶技,83,0.73,539,92.6,-2.31,6,自連賣
111	,3305.TW,昇貿,40.05,1.78,376,69.4,-39.26,6,自連賣
112	,3376.TW,新日興,80.7,-0.25,113,91.8,-6.03,6,自連賣
113	,3504.TW,揚明光,77.8,1.17,665,90.9,-14.41,6,自連賣
114	,3545.TW,敦泰,59.4,2.24,1934,145.5,-51.18,6,自連賣
115	,3556.TW,禾瑞亞,55.5,-1.42,65,72.1,-13.61,6,自連賣
116	,3624.TW,光頡,40.35,0.62,414,74.5,-43.53,6,自連賣
117	,3680.TW,家登,254.5,0.79,478,254.5,2.34,6,自連賣
118	,4171.TW,瑞基,56.1,1.08,1306,96.1,-31.68,6,自連賣
119	,4989.TW,榮科,24.85,-1,133,42.15,-37.77,6,自連賣
120	,5469.TW,瀚宇博,31.65,-0.94,479,41.6,-18.26,6,自連賣
121	,6196.TW,帆宣,117,-0.43,361,161.5,-24.41,6,自連賣
122	,6224.TW,聚鼎,57.2,-2.39,189,104.5,-42.79,6,自連賣
