符合條件商品
資料日期：2021年 11月  4日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/04),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:40 符合檔數(25)
1	,4904.TW,遠傳,65.7,-0.3,2525,61.7,10.83,12,自連賣
2	,2412.TW,中華電,112.5,-0.44,6521,111,5.06,11,自連賣
3	,2105.TW,正新,33.75,-0.74,1203,34.35,1.69,8,自連賣
4	,2731.TW,雄獅,102.5,0.99,1497,87.7,16.88,8,自連賣
5	,8478.TW,東哥遊艇,297,1.02,2514,82.4,269.68,8,自連賣
6	,1725.TW,元禎,20.15,-0.74,8,26.65,-20.23,7,自連賣
7	,9945.TW,潤泰新,43.65,-1.58,3379,68.5,-1.36,7,自連賣
8	,2010.TW,春源,16.25,0.62,682,22.6,-24.1,6,自連賣
9	,2102.TW,泰豐,20.45,-1.21,355,27.4,-25.31,6,自連賣
10	,1305.TW,華夏,26.5,1.15,17566,36.5,-20.23,5,自連賣
11	,1449.TW,佳和,16.75,9.84,963,15.05,-23.31,5,自連賣
12	,1456.TW,怡華,15.85,3.93,61,23.6,-26.99,5,自連賣
13	,1513.TW,中興電,66,0.15,12515,40.95,69.84,5,自連賣
14	,1531.TW,高林股,13.95,-0.36,46,15.15,-3.46,5,自連賣
15	,1709.TW,和益,22.45,0,297,20.4,17.72,5,自連賣
16	,1714.TW,和桐,8.73,0.23,870,10.45,-12.53,5,自連賣
17	,1722.TW,台肥,53.1,-0.56,1033,67.4,-17.73,5,自連賣
18	,1723.TW,中碳,105.5,-0.47,103,119,-8.18,5,自連賣
19	,2420.TW,新巨,39.45,0,40,41.95,0.92,5,自連賣
20	,2493.TW,揚博,43.15,0,51,38.1,20.9,5,自連賣
21	,3416.TW,融程電,83,0.36,22,82.8,6.41,5,自連賣
22	,5533.TW,皇鼎,17.45,-0.29,42,19.1,-4.12,5,自連賣
23	,5603.TW,陸海,23.4,2.63,1037,31.55,5.45,5,自連賣
24	,6177.TW,達麗,29.25,-0.17,238,30.2,7.3,5,自連賣
25	,8422.TW,可寧衛,177.5,0,124,214,-12.5,5,自連賣
