符合條件商品
資料日期：2022年 10月 18日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/18),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:42 符合檔數(12)
1	,4577.TW,達航科技,31.15,0.16,67,28,11.25,16,自連賣
2	,6585.TW,鼎基,55.9,6.88,488,49.5,12.93,15,自連賣
3	,8121.TW,越峰,25.05,-1.38,169,25.55,-1.96,10,自連賣
4	,1717.TW,長興,31.5,-1.25,930,30.85,2.11,8,自連賣
5	,1722.TW,台肥,53.1,-0.56,1033,51.9,2.31,8,自連賣
6	,2867.TW,三商壽,5.51,-2.3,17135,5.95,-7.39,8,自連賣
7	,8131.TW,福懋科,38.4,-0.78,269,36,6.67,8,自連賣
8	,2851.TW,中再保,18.45,1.1,929,18.65,-1.07,7,自連賣
9	,6192.TW,巨路,69.2,-0.86,148,66,4.85,6,自連賣
10	,6788.TW,華景電,95.1,-0.21,282,89.6,6.14,6,自連賣
11	,5607.TW,遠雄港,50.7,-0.39,436,56.4,-10.11,5,自連賣
12	,6834.TW,天二科技,25.1,-1.38,20,22.9,9.61,5,自連賣
