符合條件商品
資料日期：2022年  7月  4日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/04),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:09 符合檔數(14)
1	,3260.TW,威剛,57.6,-0.17,970,56.7,11.22,13,自連賣
2	,2542.TW,興富發,40.35,-3.93,8630,44.4,9.11,6,自連賣
3	,4157.TW,太景*-KY,16.15,-1.52,3200,15.65,3.19,6,自連賣
4	,2049.TW,上銀,180,-0.83,411,231,-20.52,5,自連賣
5	,2338.TW,光罩,86.3,0.94,3470,65.9,34.4,5,自連賣
6	,2340.TW,台亞,34.95,-0.14,799,38.85,-3.51,5,自連賣
7	,3213.TW,茂訊,43.8,-0.34,9,41.25,6.18,5,自連賣
8	,3324.TW,雙鴻,151,-0.66,649,156.5,-3.51,5,自連賣
9	,3624.TW,光頡,40.35,0.62,414,54.9,-23.38,5,自連賣
10	,5009.TW,榮剛,37.5,-0.66,11974,24.4,53.69,5,自連賣
11	,5299.TW,杰力,113,0.89,114,135,-9.19,5,自連賣
12	,6111.TW,大宇資,61.4,3.89,5227,72.9,13.81,5,自連賣
13	,6435.TW,大中,99,-0.3,127,117.5,-10.53,5,自連賣
14	,8924.TW,大田,120.5,0.42,199,102,18.14,5,自連賣
