符合條件商品
資料日期：2022年  9月 12日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/12),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:00 符合檔數(12)
1	,1737.TW,臺鹽,32.15,0,25,32.8,-1.98,13,自連賣
2	,2885.TW,元大金,21.8,-0.91,10786,20.9,4.31,10,自連賣
3	,1609.TW,大亞,20.5,0.49,2261,20.35,0.74,8,自連賣
4	,1216.TW,統一,65.9,0,2803,67.2,-1.93,7,自連賣
5	,8215.TW,明基材,32.2,-2.72,1195,31.15,3.37,7,自連賣
6	,4577.TW,達航科技,31.15,0.16,67,34.3,-9.18,6,自連賣
7	,2401.TW,凌陽,22.85,-0.87,807,24.9,-8.23,5,自連賣
8	,2489.TW,瑞軒,9.93,1.02,1113,10.9,-8.9,5,自連賣
9	,2614.TW,東森,23.3,1.75,3526,22.9,1.75,5,自連賣
10	,3617.TW,碩天,96.3,-2.33,255,105,-8.29,5,自連賣
11	,4142.TW,國光生,36.45,0.83,953,37.25,-2.15,5,自連賣
12	,6548.TW,長科*,29.95,0,316,34.15,-10.33,5,自連賣
