符合條件商品
資料日期：2022年  5月 16日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/16),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:16 符合檔數(20)
1	,6282.TW,康舒,30.4,0.83,1860,27.35,11.15,15,自連賣
2	,4157.TW,太景*-KY,16.15,-1.52,3200,15.45,4.53,9,自連賣
3	,2030.TW,彰源,23.95,1.27,3219,29,-9.93,8,自連賣
4	,2915.TW,潤泰全,66.7,0.15,4192,81,-10.73,8,自連賣
5	,9914.TW,美利達,171,-2.29,298,239,-25.91,8,自連賣
6	,1504.TW,東元,27.25,-0.37,1749,28.25,1.04,7,自連賣
7	,2104.TW,國際中橡,19.6,0.77,1331,20.75,-4.58,7,自連賣
8	,2515.TW,中工,8.25,-0.48,1107,9.04,-2.94,7,自連賣
9	,2545.TW,皇翔,40.2,-0.12,93,52.8,-13.75,7,自連賣
10	,3033.TW,威健,26.5,0,428,29.95,-1.23,7,自連賣
11	,3484.TW,崧騰,43,-0.69,72,61.2,-24.77,7,自連賣
12	,5011.TW,久陽,25.35,1.6,496,32.7,-21.49,7,自連賣
13	,5536.TW,聖暉*,102.5,-0.97,167,196,13.64,7,自連賣
14	,1717.TW,長興,31.5,-1.25,930,34.2,-6.83,6,自連賣
15	,5457.TW,宣德,49.5,-0.2,374,53.2,-2.17,6,自連賣
16	,6216.TW,居易,25.25,0,90,27.9,-4.61,6,自連賣
17	,2423.TW,固緯,26.95,-1.28,44,28.3,0.6,5,自連賣
18	,4526.TW,東台,14.4,0,53,14.45,1.12,5,自連賣
19	,6670.TW,復盛應用,213,-0.7,244,205,10.79,5,自連賣
20	,6712.TW,長聖,205.5,0.49,967,189,22.67,5,自連賣
