符合條件商品
資料日期：2022年  3月 25日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/25),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:24 符合檔數(13)
1	,2542.TW,興富發,40.35,-3.93,8630,45.75,5.91,9,自連賣
2	,2945.TW,三商家購,42.25,0,0,62.5,-28.7,9,自連賣
3	,3310.TW,佳穎,41.9,-0.12,23,39.3,13.03,9,自連賣
4	,3605.TW,宏致,32,-1.23,111,50.5,-34.13,7,自連賣
5	,5498.TW,凱崴,11.45,1.33,784,12.1,-5.37,7,自連賣
6	,2342.TW,茂矽,38.65,1.44,640,43.25,-9.42,6,自連賣
7	,2636.TW,台驊投控,76.3,-0.91,1346,123,-31.25,6,自連賣
8	,6125.TW,廣運,25.45,0.79,1033,26.25,2.87,6,自連賣
9	,6477.TW,安集,45.15,0.22,708,59.8,-23.62,6,自連賣
10	,2338.TW,光罩,86.3,0.94,3470,91.3,-2.99,5,自連賣
11	,4549.TW,桓達,84.8,0.59,8,94.4,4.55,5,自連賣
12	,6196.TW,帆宣,117,-0.43,361,156,-21.75,5,自連賣
13	,6679.TW,鈺太,229,0.44,465,407,-42.4,5,自連賣
