符合條件商品
資料日期：2022年  8月  2日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/02),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:05 符合檔數(18)
1	,2065.TW,世豐,50.9,-0.2,24,47.8,9.6,13,自連賣
2	,2535.TW,達欣工,29.7,0.17,102,29.85,-0.5,11,自連賣
3	,8039.TW,台虹,41,-0.61,92,41.1,-0.24,10,自連賣
4	,8070.TW,長華*,30.65,-0.16,272,32.4,-3.19,10,自連賣
5	,3026.TW,禾伸堂,89.9,0,51,90.8,-0.99,8,自連賣
6	,2480.TW,敦陽科,82,-0.61,42,86.5,-5.2,7,自連賣
7	,6281.TW,全國電,81.2,-0.12,11,80.9,0.37,7,自連賣
8	,6823.TW,濾能,97.5,2.85,2,94,11.89,7,自連賣
9	,1440.TW,南紡,17.3,-1.42,812,17.45,-0.86,6,自連賣
10	,2937.TW,集雅社,36.5,0.27,20,37.75,-3.31,6,自連賣
11	,6116.TW,彩晶,11.1,0.91,3518,9.71,14.32,6,自連賣
12	,1301.TW,台塑,86.8,-0.46,6046,91.6,-5.24,5,自連賣
13	,2618.TW,長榮航,28.1,-2.09,27994,31.55,-9.18,5,自連賣
14	,2913.TW,農林,21.45,-1.15,909,19,12.89,5,自連賣
15	,3029.TW,零壹,40.25,0,78,39.15,2.81,5,自連賣
16	,3042.TW,晶技,83,0.73,539,86.7,-4.27,5,自連賣
17	,3293.TW,鈊象,425.5,-0.23,3602,340.5,24.96,5,自連賣
18	,4306.TW,炎洲,14.4,-0.35,424,13.95,3.23,5,自連賣
