符合條件商品
資料日期：2022年  2月 25日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/25),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:28 符合檔數(37)
1	,2542.TW,興富發,40.35,-3.93,8630,48.95,-1.01,20,自連賣
2	,2406.TW,國碩,18.8,-1.05,970,24.15,-22.15,12,自連賣
3	,3028.TW,增你強,28.6,1.06,236,35.7,-10.37,9,自連賣
4	,2905.TW,三商,15.05,-0.66,352,21.3,-24.22,8,自連賣
5	,2375.TW,凱美,56,-0.36,155,87.7,-45.15,7,自連賣
6	,3023.TW,信邦,275.5,-0.18,232,268.5,5.17,7,自連賣
7	,3033.TW,威健,26.5,0,428,30.65,-3.5,7,自連賣
8	,3211.TW,順達,73.1,-0.14,70,99.6,-15.35,7,自連賣
9	,3596.TW,智易,98.3,-0.2,490,114.5,-8.46,7,自連賣
10	,4562.TW,穎漢,15.3,0.33,16,15.6,-1.92,7,自連賣
11	,8215.TW,明基材,32.2,-2.72,1195,33.6,0.94,7,自連賣
12	,2353.TW,宏碁,23.15,0.22,5082,28.8,-11.64,6,自連賣
13	,2363.TW,矽統,15.95,-0.93,935,22.15,-18.04,6,自連賣
14	,2404.TW,漢唐,182,-2.41,755,176,12.09,6,自連賣
15	,2408.TW,南亞科,51.4,-0.58,5241,77.1,-28.71,6,自連賣
16	,2436.TW,偉詮電,42,0.84,593,88.6,-49.94,6,自連賣
17	,2449.TW,京元電子,36.4,-1.75,4505,43.5,-9.66,6,自連賣
18	,3305.TW,昇貿,40.05,1.78,376,69.2,-39.09,6,自連賣
19	,4915.TW,致伸,55.1,-0.9,3460,52.3,11.22,6,自連賣
20	,5299.TW,杰力,113,0.89,114,185.5,-33.91,6,自連賣
21	,6121.TW,新普,288.5,-0.35,276,312.5,7.5,6,自連賣
22	,6182.TW,合晶,41.8,-0.36,1757,72.4,-40.6,6,自連賣
23	,6239.TW,力成,81.3,0.62,1926,94.2,-6.67,6,自連賣
24	,6491.TW,晶碩,404.5,-1.94,432,437,-5.54,6,自連賣
25	,8027.TW,鈦昇,51.7,-2.45,239,68.7,-22.92,6,自連賣
26	,8261.TW,富鼎,106,-0.47,888,100.5,11.12,6,自連賣
27	,2344.TW,華邦電,20.1,-0.99,9528,33,-36.73,5,自連賣
28	,2393.TW,億光,37.5,0.94,242,49.6,-17.33,5,自連賣
29	,2852.TW,第一保,15.8,0.32,77,14.85,15.24,5,自連賣
30	,3380.TW,明泰,28.55,-1.04,598,30.5,-3.77,5,自連賣
31	,3443.TW,創意,726,-0.55,5389,457,60.85,5,自連賣
32	,5388.TW,中磊,77.4,-0.13,1579,72.3,10.32,5,自連賣
33	,6257.TW,矽格,48.85,0.31,824,56.9,-6.53,5,自連賣
34	,6282.TW,康舒,30.4,0.83,1860,33.25,-5.65,5,自連賣
35	,6684.TW,安格,45.4,-0.87,27,147,-63.82,5,自連賣
36	,6781.TW,AES-KY,680,1.34,965,1305,-47.13,5,自連賣
37	,9910.TW,豐泰,207.5,-1.19,2962,207,2.63,5,自連賣
