符合條件商品
資料日期：2022年 12月 15日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/15),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:31 符合檔數(18)
1	,2722.TW,夏都,33.9,0.44,10,35.1,-3.42,20,自連賣
2	,2882.TW,國泰金,41.15,1.86,33982,40.6,1.35,20,自連賣
3	,6811.TW,宏碁資訊,133,-0.37,7,135,-1.48,20,自連賣
4	,6835.TW,圓裕,39.2,-2,415,39.1,0.26,20,自連賣
5	,8411.TW,福貞-KY,13.1,-0.76,94,13.15,-0.38,20,自連賣
6	,6806.TW,森崴能源,82.9,0.61,8626,79.5,4.28,14,自連賣
7	,6546.TW,正基,71.1,-0.7,189,76.5,-7.06,10,自連賣
8	,6469.TW,大樹,283.5,-1.56,247,287,-1.22,9,自連賣
9	,4958.TW,臻鼎-KY,108,-1.37,2633,115.5,-6.49,8,自連賣
10	,6182.TW,合晶,41.8,-0.36,1757,44.6,-6.28,8,自連賣
11	,6411.TW,晶焱,85.7,-0.35,289,94.5,-9.31,8,自連賣
12	,6683.TW,雍智科技,189.5,0.26,103,191,-0.79,7,自連賣
13	,3227.TW,原相,94.6,-1.36,219,99.1,-4.54,6,自連賣
14	,3702.TW,大聯大,47.8,-0.52,2583,47.65,0.31,6,自連賣
15	,2360.TW,致茂,179,0.56,783,180,-0.56,5,自連賣
16	,2497.TW,怡利電,72.9,-0.82,961,80.2,-9.1,5,自連賣
17	,6237.TW,驊訊,44.8,0.22,249,47.55,-5.78,5,自連賣
18	,8183.TW,精星,54.1,-0.18,400,57.7,-6.24,5,自連賣
