符合條件商品
資料日期：2021年 12月 24日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/24),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:33 符合檔數(20)
1	,1101.TW,台泥,34.05,-1.16,23484,47.9,-19.88,17,自連賣
2	,2542.TW,興富發,40.35,-3.93,8630,46.2,4.89,16,自連賣
3	,2881.TW,富邦金,56.7,-0.18,6587,75.2,-15.85,9,自連賣
4	,4571.TW,鈞興-KY,73.8,-0.14,9,100,-22.06,9,自連賣
5	,2748.TW,雲品,58.2,0.87,303,39,50.89,7,自連賣
6	,2377.TW,微星,119.5,1.7,2513,160.5,-18.86,6,自連賣
7	,2905.TW,三商,15.05,-0.66,352,22.4,-27.96,6,自連賣
8	,3138.TW,耀登,131.5,-1.13,169,221,-39.04,6,自連賣
9	,1102.TW,亞泥,41.55,0.24,6062,44.25,1.66,5,自連賣
10	,1464.TW,得力,14.05,-0.71,81,15.8,-9.35,5,自連賣
11	,2023.TW,燁輝,16.8,-0.59,4854,25.4,-28.3,5,自連賣
12	,2034.TW,允強,29.6,-0.5,3354,32.3,-3.05,5,自連賣
13	,2353.TW,宏碁,23.15,0.22,5082,29.85,-14.76,5,自連賣
14	,2374.TW,佳能,20.7,0,250,30.45,-29.18,5,自連賣
15	,4912.TW,聯德控股-KY,79.8,-0.37,46,160,-48.85,5,自連賣
16	,4961.TW,天鈺,117,0.86,1402,282.5,-52.38,5,自連賣
17	,5287.TW,數字,190.5,-0.26,4,264,-7.8,5,自連賣
18	,6176.TW,瑞儀,106,0.47,1064,100.5,14.89,5,自連賣
19	,6461.TW,益得,36.4,1.11,1956,20,82,5,自連賣
20	,9927.TW,泰銘,37.6,-0.4,61,38.1,10.59,5,自連賣
