符合條件商品
資料日期：2022年  3月  3日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:28 符合檔數(11)
1	,2542.TW,興富發,40.35,-3.93,8630,50.2,-3.49,20,自連賣
2	,3028.TW,增你強,28.6,1.06,236,36.9,-13.28,12,自連賣
3	,3596.TW,智易,98.3,-0.2,490,115.5,-9.26,10,自連賣
4	,2852.TW,第一保,15.8,0.32,77,14.85,15.24,8,自連賣
5	,3218.TW,大學光,290,0.17,438,283,9.64,6,自連賣
6	,2108.TW,南帝,38.2,-0.26,608,74.5,-43.26,5,自連賣
7	,2383.TW,台光電,176.5,-0.84,2034,274,-31.63,5,自連賣
8	,4743.TW,合一,259.5,-1.14,14786,247,5.06,5,自連賣
9	,8110.TW,華東,11.6,-1.28,672,17.5,-33.03,5,自連賣
10	,8213.TW,志超,36.4,0,113,50.8,-19.68,5,自連賣
11	,9802.TW,鈺齊-KY,162,0.31,3063,113.5,46.5,5,自連賣
