符合條件商品
資料日期：2021年 12月 21日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/21),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:33 符合檔數(26)
1	,1101.TW,台泥,34.05,-1.16,23484,47.25,-18.79,14,自連賣
2	,2542.TW,興富發,40.35,-3.93,8630,47,3.09,13,自連賣
3	,4743.TW,合一,259.5,-1.14,14786,287,-9.58,11,自連賣
4	,1513.TW,中興電,66,0.15,12515,43.65,59.34,9,自連賣
5	,1710.TW,東聯,18.5,1.09,1345,21.65,-11.23,8,自連賣
6	,3045.TW,台灣大,94.8,0,2514,98.8,-0.07,8,自連賣
7	,5538.TW,東明-KY,42.35,0.59,24,53.2,-14.55,8,自連賣
8	,6175.TW,立敦,32.3,-0.77,206,45.6,-25.75,8,自連賣
9	,1504.TW,東元,27.25,-0.37,1749,31,-7.91,7,自連賣
10	,2449.TW,京元電子,36.4,-1.75,4505,43.25,-9.11,7,自連賣
11	,2610.TW,華航,19,-1.55,26392,26.3,-25.08,7,自連賣
12	,2426.TW,鼎元,16.9,-0.59,149,28.15,-36.8,6,自連賣
13	,2489.TW,瑞軒,9.93,1.02,1113,17.2,-35.6,6,自連賣
14	,2634.TW,漢翔,34.55,3.13,14471,29.1,19.97,6,自連賣
15	,2834.TW,臺企銀,12.9,-0.39,8238,9.7,39.01,6,自連賣
16	,2881.TW,富邦金,56.7,-0.18,6587,74.8,-15.41,6,自連賣
17	,3036.TW,文曄,62.7,-0.95,1327,64.7,3.64,6,自連賣
18	,3591.TW,艾笛森,15.7,-0.63,172,23.3,-28.01,6,自連賣
19	,3675.TW,德微,168,2.75,1849,286,-39.88,6,自連賣
20	,4571.TW,鈞興-KY,73.8,-0.14,9,100.5,-22.45,6,自連賣
21	,1219.TW,福壽,18.9,0.8,834,19.65,1.39,5,自連賣
22	,1795.TW,美時,232,0.22,11755,97.4,141.69,5,自連賣
23	,2312.TW,金寶,13.65,-1.09,2439,14.9,-6.95,5,自連賣
24	,2356.TW,英業達,26,0.19,6530,24.95,10.69,5,自連賣
25	,2886.TW,兆豐金,30.55,-0.97,8425,35.75,-9,5,自連賣
26	,8103.TW,瀚荃,31.9,0,42,48.1,-29.83,5,自連賣
